date,rules_only,rules_ml,hybrid
2022-01-03,1000000.0,1000000.0,1000000.0
2022-01-04,1000000.0,1000000.0,998296.45677
2022-01-05,1000000.0,1000000.0,995941.54302
2022-01-06,1000000.0,1000000.0,997768.56302
2022-01-07,1000000.0,1000000.0,1002459.9930199999
2022-01-10,1000000.0,1000000.0,1008972.07302
2022-01-11,1000000.0,1000000.0,1014154.14302
2022-01-12,1000000.0,1000000.0,1024200.13772
2022-01-13,1000000.0,1000000.0,1024860.7377200001
2022-01-14,1000000.0,1000000.0,1021807.29772
2022-01-17,1000000.0,1000000.0,1021319.76758
2022-01-18,1000000.0,1000000.0,1021062.2957400001
2022-01-19,1000000.0,1000000.0,1023509.8867000001
2022-01-20,1000000.0,1000000.0,1028559.8602500001
2022-01-21,1000000.0,1000000.0,1001161.5302500001
2022-01-24,1000000.0,1000000.0,970800.1548000001
2022-01-25,1000000.0,1000000.0,972210.55834
2022-01-27,1000000.0,1000000.0,984495.08742
2022-01-28,1000000.0,1000000.0,989962.97742
2022-01-31,1000000.0,1000000.0,1001840.48742
2022-02-01,1000000.0,1000000.0,1006349.7174199999
2022-02-02,1000000.0,1000000.0,1019367.16742
2022-02-03,1000000.0,1000000.0,1018917.2984799999
2022-02-04,1000000.0,1000000.0,1013395.1384800001
2022-02-07,1000000.0,1000000.0,1000536.9984799998
2022-02-08,1000000.0,1000000.0,983820.63848
2022-02-09,1000000.0,1000000.0,982602.09968
2022-02-10,1000000.0,1000000.0,977969.93808
2022-02-11,1000000.0,1000000.0,958163.1180799999
2022-02-14,1000000.0,1000000.0,931497.1696200002
2022-02-15,1000000.0,1000000.0,933116.9171600002
2022-02-16,1000000.0,1000000.0,925373.8271600002
2022-02-17,1000000.0,1000000.0,914730.7212800002
2022-02-18,1000000.0,1000000.0,911873.4212800001
2022-02-21,1000000.0,1000000.0,906335.1212800002
2022-02-22,1000000.0,1000000.0,895980.2904800002
2022-02-23,1000000.0,1000000.0,895980.2904800002
2022-02-24,1000000.0,1000000.0,895980.2904800002
2022-02-25,1000000.0,1000000.0,895980.2904800002
2022-02-28,1000000.0,1000000.0,895980.2904800002
2022-03-02,1000000.0,1000000.0,895980.2904800002
2022-03-03,1000000.0,1000000.0,895980.2904800002
2022-03-04,1000000.0,1000000.0,895980.2904800002
2022-03-07,999515.70837,999515.70837,895980.2904800002
2022-03-08,998411.46837,998411.46837,895980.2904800002
2022-03-09,999724.35837,999724.35837,895980.2904800002
2022-03-10,1000088.15837,1000088.15837,897496.4878400002
2022-03-11,1004051.43837,1004051.43837,897698.4478400002
2022-03-14,1005582.60837,1005582.60837,899279.4478400002
