ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
BRIGADE,2022-01-05,2022-01-06,469.7,441.36,286,134468.53,0.5937,441.36,-8105.24,-8492.03,-6.32,1,stop_loss
TATASTEEL,2022-01-04,2022-01-11,101.48,98.02,1327,134798.62,0.5768,98.02,-4591.42,-4986.23,-3.7,7,stop_loss
INDHOTEL,2022-01-04,2022-01-12,183.09,205.47,735,134705.72,0.6005,174.14,16449.3,16012.69,11.89,8,target_hit
BRIGADE,2022-01-12,2022-01-18,458.77,523.06,388,178180.76,0.5919,426.62,24944.52,24360.62,13.67,6,target_hit
METROPOLIS,2022-01-13,2022-01-18,771.48,730.34,195,150589.04,0.5266,730.34,-8022.3,-8457.57,-5.62,5,stop_loss
MAXHEALTH,2022-01-11,2022-01-21,397.19,378.28,378,150287.96,0.6258,371.97,-7147.98,-7584.1,-5.05,10,sector_rotation
JSL,2022-01-12,2022-01-20,188.21,211.19,949,178789.9,0.5982,176.72,21808.02,21228.57,11.87,8,target_hit
BHEL,2022-01-04,2022-01-24,60.14,57.56,2242,134968.71,0.5604,57.56,-5784.36,-6177.29,-4.58,20,stop_loss
GMRAIRPORT,2022-01-19,2022-01-24,43.5,40.51,4236,184450.27,0.6133,40.51,-12665.64,-13193.11,-7.15,5,stop_loss
TATACOMM,2022-01-21,2022-01-24,1360.93,1268.1,114,155301.17,0.5272,1268.1,-10582.62,-11026.89,-7.1,3,stop_loss
SAFARI,2022-02-01,2022-02-02,449.91,498.85,304,136909.41,0.595,430.34,14877.76,14437.69,10.55,1,target_hit
AUBANK,2022-01-19,2022-02-03,628.61,703.3,244,153534.22,0.6321,591.27,18224.36,17727.77,11.55,15,target_hit
KEC,2022-01-21,2022-02-07,471.5,521.1,396,186900.71,0.5656,446.7,19641.6,19042.17,10.19,17,target_hit
POWERGRID,2022-01-12,2022-02-15,125.79,123.34,1417,178422.67,0.5228,121.37,-3471.65,-3999.44,-2.24,34,ema_reversal
DLF,2022-02-01,2022-02-14,383.64,365.66,358,137480.46,0.5465,365.66,-6436.84,-6836.0,-4.97,13,stop_loss
JSL,2022-02-01,2022-02-14,201.58,189.86,680,137211.47,0.6149,189.86,-7969.6,-8364.88,-6.1,13,stop_loss
SAFARI,2022-02-11,2022-02-14,451.45,424.76,318,143704.66,0.6168,424.76,-8487.42,-8901.13,-6.19,3,stop_loss
CHAMBLFERT,2022-02-03,2022-02-15,366.39,337.28,431,158072.0,0.6989,337.28,-12546.41,-12995.06,-8.22,12,stop_loss
INDIANB,2022-02-11,2022-02-15,137.07,128.55,870,119370.15,0.5882,128.55,-7412.4,-7755.33,-6.5,4,stop_loss
BRIGADE,2022-04-07,2022-04-19,495.67,483.05,366,181596.64,0.5921,462.25,-4618.92,-5153.93,-2.84,12,ema_reversal
NOCIL,2022-04-08,2022-04-18,231.0,217.62,655,151456.3,0.6009,217.62,-8763.9,-9200.29,-6.07,10,stop_loss
RATNAMANI,2022-04-08,2022-04-21,1618.52,1510.69,93,150672.88,0.5746,1510.69,-10028.19,-10459.7,-6.94,13,stop_loss
VIPIND,2022-04-07,2022-04-25,704.91,655.68,214,151001.59,0.6356,655.68,-10535.22,-10966.7,-7.26,18,stop_loss
BANKBARODA,2022-04-19,2022-04-25,101.95,96.74,1456,148587.64,0.5722,96.74,-7585.76,-8015.91,-5.39,6,stop_loss
BEL,2022-04-26,2022-04-29,78.73,75.81,1643,129482.74,0.6213,75.81,-4797.56,-5176.03,-4.0,3,stop_loss
SUMICHEM,2022-04-08,2022-05-04,417.66,462.54,362,151344.11,0.6028,395.22,16246.56,15760.49,10.41,26,target_hit
ADANIGREEN,2022-04-26,2022-05-04,2861.0,2660.2,45,128873.74,0.5835,2660.2,-9036.0,-9404.16,-7.3,8,stop_loss
CONCOR,2022-04-22,2022-05-09,621.89,587.97,283,176170.86,0.5369,587.97,-9599.36,-10108.15,-5.74,17,stop_loss
LEMONTREE,2022-04-06,2022-05-10,63.0,57.59,2388,150594.44,0.6342,57.59,-12919.08,-13344.57,-8.86,34,stop_loss
BAJAJHLDNG,2022-04-19,2022-05-11,5001.51,4603.43,29,145188.83,0.5279,4603.43,-11544.32,-11956.36,-8.24,22,stop_loss
SUMICHEM,2022-07-21,2022-07-26,467.5,442.69,296,138518.38,0.6,442.69,-7343.76,-7744.21,-5.59,5,stop_loss
HFCL,2022-07-26,2022-08-05,62.51,65.69,2203,137847.24,0.6154,57.75,7005.54,6578.4,4.77,10,sector_rotation
SHOPERSTOP,2022-07-27,2022-08-12,575.95,645.79,239,137789.7,0.6816,541.03,16691.76,16245.42,11.79,16,target_hit
HONAUT,2022-08-16,2022-08-16,39826.46,43001.36,3,119598.86,0.507,38239.01,9524.7,9147.21,7.65,0,target_hit
IFCI,2022-08-17,2022-08-19,10.0,11.26,14657,146716.57,0.627,9.37,18467.82,17991.17,12.26,2,target_hit
OMAXE,2022-07-27,2022-08-25,104.0,102.9,1328,138250.11,0.6537,94.5,-1460.8,-1872.21,-1.35,29,ema_reversal
FEDERALBNK,2022-08-22,2022-08-25,104.94,113.29,1419,149058.77,0.5539,100.76,11848.65,11378.22,7.63,3,target_hit
CROMPTON,2022-07-25,2022-08-26,367.26,407.81,450,165432.27,0.595,346.99,18247.5,17715.2,10.71,32,target_hit
BAJFINANCE,2022-08-25,2022-08-29,710.26,683.19,211,150014.72,0.5624,683.19,-5711.77,-6149.94,-4.1,4,stop_loss
BAJAJFINSV,2022-08-26,2022-08-29,1639.6,1568.61,93,152635.28,0.5694,1568.61,-6602.07,-7046.31,-4.62,3,stop_loss
SUMICHEM,2022-07-27,2022-08-30,440.99,488.5,310,136843.61,0.5973,417.24,14728.1,14288.52,10.44,34,target_hit
PRESTIGE,2022-07-27,2022-09-01,424.07,474.16,390,165552.69,0.6123,399.03,19535.1,18999.87,11.48,36,target_hit
DLF,2022-08-05,2022-09-02,362.07,392.93,466,168893.34,0.5745,346.64,14380.76,13845.82,8.2,28,target_hit
CUB,2022-09-05,2022-09-05,175.46,166.23,899,157896.28,0.6381,166.23,-8297.77,-8754.39,-5.54,0,stop_loss
ADANIPORTS,2022-08-29,2022-09-09,802.29,878.24,228,183105.04,0.5522,764.32,17316.6,16733.2,9.14,11,target_hit
GSFC,2022-09-02,2022-09-13,142.63,144.48,1103,157478.21,0.513,134.45,2040.55,1564.51,0.99,11,sector_rotation
APLAPOLLO,2022-08-30,2022-09-16,955.5,1087.47,157,150163.51,0.5543,889.51,20719.29,20227.81,13.47,17,target_hit
NETWORK18,2022-08-30,2022-09-20,70.2,68.3,2146,150799.85,0.6095,65.67,-4077.4,-4521.19,-3.0,21,ema_reversal
CHALET,2022-09-01,2022-09-21,321.94,359.62,474,152752.16,0.5993,303.1,17860.32,17366.8,11.37,20,target_hit
LICHSGFIN,2022-09-20,2022-09-23,394.95,381.2,405,160114.7,0.5543,381.2,-5568.75,-6037.48,-3.77,3,stop_loss
FEDERALBNK,2022-09-13,2022-09-26,118.08,112.39,1349,159449.21,0.5893,112.39,-7675.81,-8138.33,-5.1,13,stop_loss
