date,equity
2022-01-03,1000000.0
2022-01-04,998296.45677
2022-01-05,995941.54302
2022-01-06,997768.56302
2022-01-07,1002459.9930199999
2022-01-10,1008972.07302
2022-01-11,1012496.4375199999
2022-01-12,1019767.76024
2022-01-13,1020428.3602400001
2022-01-14,1017374.92024
2022-01-17,1016887.3901
2022-01-18,1016631.1767600001
2022-01-19,1019065.0263400001
2022-01-20,1024101.51926
2022-01-21,996839.0392600001
2022-01-24,966664.4079300001
2022-01-25,968084.2670900002
2022-01-27,980322.3260900003
2022-01-28,985772.7160900005
2022-01-31,999196.7281300003
2022-02-01,1008350.7710100004
2022-02-02,1013460.4182100003
2022-02-03,1015795.4396100004
2022-02-04,1019565.0596100003
2022-02-07,1003688.9296100002
2022-02-08,996801.8810500003
2022-02-09,1001785.5728500005
2022-02-10,1000551.8968100003
2022-02-11,981329.2868100004
2022-02-14,961746.8964000004
2022-02-15,949927.1968800004
2022-02-16,942205.0518800004
2022-02-17,932429.1606200004
2022-02-18,929206.9106200004
2022-02-21,923663.9306200005
2022-02-22,915101.2263400004
2022-02-23,914238.4763400004
2022-02-24,909931.8663400004
2022-02-25,914180.1663400005
2022-02-28,915025.0663400004
2022-03-02,913666.0863400004
2022-03-03,913246.0163400004
2022-03-04,911189.6963400004
2022-03-07,904996.2128200004
2022-03-08,904996.2128200004
2022-03-09,904996.2128200004
2022-03-10,906527.2748600004
2022-03-11,906731.2148600004
2022-03-14,908327.7148600004
2022-03-15,909666.7148600004
2022-03-16,912039.8348600003
2022-03-17,916853.3565200004
2022-03-21,914603.8365200004
2022-03-22,916045.8365200004
2022-03-23,917048.0265200003
2022-03-24,918029.6165200004
2022-03-25,918122.3165200003
2022-03-28,917559.9365200003
2022-03-29,916378.5265200003
2022-03-30,918244.8865200004
2022-03-31,916710.1865200003
2022-04-01,915616.3265200004
2022-04-04,914777.9065200003
2022-04-05,915293.9365200003
2022-04-06,915104.4165200003
2022-04-07,913468.7765200003
2022-04-08,919093.6065200004
2022-04-11,920196.9919600004
2022-04-12,920196.9919600004
2022-04-13,920026.3171600003
2022-04-18,917391.5418200004
2022-04-19,911111.7586500003
2022-04-20,901938.3543700003
2022-04-21,917259.1775500005
2022-04-22,914361.2675500005
2022-04-25,901075.4531500004
2022-04-26,905706.8156000006
2022-04-27,907319.7456000005
2022-04-28,921041.9021400005
2022-04-29,925445.2305700005
2022-05-02,923678.6661900005
2022-05-04,909888.6118700005
2022-05-05,908862.4591400005
2022-05-06,898085.1889200006
2022-05-09,897228.7073000006
2022-05-10,893559.1073000006
2022-05-11,889926.5369900005
2022-05-12,890254.7695900005
2022-05-13,893656.7095900006
2022-05-16,895348.0695900006
2022-05-17,896049.5995900005
2022-05-18,900802.8056100005
2022-05-19,895383.2056100005
2022-05-20,906497.6956100005
2022-05-23,899839.3156100005
2022-05-24,899020.2556100006
2022-05-25,884110.0656100005
2022-05-26,891549.0256100005
2022-05-27,894371.9456100005
2022-05-30,895880.3156100005
2022-05-31,886431.0198100006
2022-06-01,893109.9698100005
2022-06-02,897542.2942100005
2022-06-03,895089.1942100006
2022-06-06,895036.2842100005
2022-06-07,895993.4742100006
2022-06-08,896152.2042100006
2022-06-09,895695.2542100005
2022-06-10,897080.5342100005
2022-06-13,896464.8542100005
2022-06-14,898908.3342100006
2022-06-15,901401.0493700006
2022-06-16,903156.3805100006
2022-06-17,904687.0005100006
2022-06-20,901405.3605100007
2022-06-21,897148.3253100007
2022-06-22,893612.2016300007
2022-06-23,895407.4816300008
2022-06-24,898370.4616300007
2022-06-27,909306.7816300007
2022-06-28,908248.9016300007
2022-06-29,911063.5816300007
2022-06-30,917968.3008300007
2022-07-01,924063.4808300007
