ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason,month
ONWARDTEC,2022-01-05,2022-01-12,271.73,320.14,551,149872.95,0.664,271.73,13361.16,21744.51,14.51,7,target_hit_full,2022-01
MAXHEALTH,2022-01-06,2022-01-18,406.25,394.21,367,149242.84,0.6171,379.76,-4418.68,-4857.12,-3.25,12,ema_reversal,2022-01
INDIACEM,2022-01-19,2022-01-24,236.13,219.87,644,152219.79,0.6472,219.87,-10471.44,-10906.7,-7.17,5,stop_loss,2022-01
NBCC,2022-01-19,2022-01-24,31.5,29.73,4828,152234.08,0.613,29.73,-8545.56,-8984.71,-5.9,5,stop_loss,2022-01
RAJRATAN,2022-01-20,2022-01-24,545.98,501.21,280,153027.27,0.6813,501.21,-12535.6,-12969.15,-8.48,4,stop_loss,2022-01
SUZLON,2022-01-20,2022-01-25,10.51,9.69,14502,152568.44,0.6651,9.69,-11891.64,-12325.1,-8.08,5,stop_loss,2022-01
TANLA,2022-01-21,2022-01-25,1809.37,1673.89,84,152139.07,0.5814,1673.89,-11380.32,-11813.52,-7.76,4,stop_loss,2022-01
AUBANK,2022-01-19,2022-02-03,628.61,703.3,242,152275.74,0.6321,628.61,9037.49,14575.58,9.57,15,target_hit_full,2022-01
SUZLON,2022-01-27,2022-02-08,9.96,9.96,14536,144923.34,0.6462,9.96,0.0,8342.36,5.76,12,stop_loss,2022-01
ALOKINDS,2022-01-25,2022-02-10,28.45,28.0,4050,115337.72,0.6764,24.88,-1822.5,-2164.52,-1.88,16,ema_reversal,2022-01
MOTHERSON,2022-01-25,2022-02-14,77.95,72.34,1853,144585.79,0.6071,72.34,-10395.33,-10807.86,-7.48,20,stop_loss,2022-01
GOKEX,2022-01-25,2022-02-14,364.52,364.52,397,144859.15,0.6723,364.52,0.0,8126.06,5.61,20,stop_loss,2022-01
ARVINDFASN,2022-01-28,2022-02-15,309.96,291.43,475,147378.23,0.636,286.63,-8801.75,-9225.84,-6.26,18,ema_reversal,2022-01
MMTC,2022-02-10,2022-02-14,53.8,48.99,2789,150198.25,0.6144,48.99,-13415.09,-13838.4,-9.21,4,stop_loss,2022-02
ONGC,2022-02-15,2022-02-15,131.05,124.72,1101,144430.34,0.5867,124.72,-6969.33,-7388.25,-5.12,0,stop_loss,2022-02
NLCINDIA,2022-02-15,2022-02-15,61.86,57.21,2324,143906.4,0.6206,57.21,-10806.6,-11216.27,-7.79,0,stop_loss,2022-02
GOKEX,2022-02-16,2022-02-18,384.0,359.53,371,142606.46,0.6549,346.13,-9078.37,-9487.61,-6.65,2,ema_reversal,2022-02
BANKBARODA,2022-02-15,2022-02-22,94.5,88.28,1528,144540.4,0.6265,88.28,-9504.16,-9918.34,-6.86,7,stop_loss,2022-02
SHOPERSTOP,2022-02-17,2022-02-22,355.0,319.9,397,141075.94,0.6507,319.9,-13934.7,-14329.64,-10.16,5,stop_loss,2022-02
CHOLAFIN,2022-02-01,2022-03-08,630.14,603.04,238,150123.29,0.5987,630.14,-3224.9,2440.75,1.63,35,ema_reversal,2022-02
CHOLAFIN,2022-03-11,2022-04-11,657.66,748.76,206,135613.44,0.5701,657.66,9383.3,15200.78,11.21,31,target_hit_full,2022-03
TATAPOWER,2022-04-19,2022-04-19,253.38,237.32,543,137722.93,0.6079,237.32,-8720.58,-9115.89,-6.62,0,stop_loss,2022-04
ANGELONE,2022-04-21,2022-04-21,162.65,162.65,840,136762.63,0.6345,162.65,0.0,6108.06,4.47,0,stop_loss,2022-04
MOIL,2022-04-18,2022-04-26,168.14,163.66,820,138012.67,0.5895,158.53,-3673.6,-4079.88,-2.96,8,ema_reversal,2022-04
JINDALSTEL,2022-04-22,2022-04-29,531.68,540.47,259,137842.83,0.5838,501.14,2276.61,1858.94,1.35,7,sector_rotation,2022-04
JBMA,2022-04-27,2022-04-29,273.49,254.27,495,135512.93,0.6637,254.27,-9513.9,-9901.0,-7.31,2,stop_loss,2022-04
INDIANB,2022-04-20,2022-05-04,143.85,135.84,949,136650.16,0.6095,135.84,-7601.49,-7995.83,-5.85,14,stop_loss,2022-04
CRISIL,2022-04-22,2022-05-06,3226.85,3226.85,42,135663.23,0.5452,3226.85,0.0,6111.98,4.51,14,stop_loss,2022-04
TORNTPOWER,2022-04-26,2022-05-09,496.0,447.41,272,135046.91,0.5653,469.86,-13216.48,-13594.78,-10.07,13,ema_reversal,2022-04
IIFL,2022-05-02,2022-05-06,338.59,306.86,409,138621.79,0.6351,306.86,-12977.57,-13367.06,-9.64,4,stop_loss,2022-05
INDHOTEL,2022-04-21,2022-05-09,238.22,238.22,574,136875.02,0.6435,238.22,0.0,5361.27,3.92,18,stop_loss,2022-04
RAJRATAN,2022-05-06,2022-05-12,614.67,614.67,219,134747.34,0.7063,614.67,0.0,6988.99,5.19,6,stop_loss,2022-05
NLCINDIA,2022-05-19,2022-06-01,70.18,68.9,1911,134248.09,0.6089,63.21,-2446.08,-2843.53,-2.12,13,ema_reversal,2022-05
VBL,2022-05-12,2022-06-15,138.71,158.82,961,133433.61,0.6077,138.71,9672.91,15672.8,11.75,34,target_hit_full,2022-05
RATNAMANI,2022-06-22,2022-06-30,1671.44,1671.44,80,133848.92,0.5411,1671.44,0.0,7378.46,5.51,8,stop_loss,2022-06
VBL,2022-06-23,2022-07-08,149.58,168.59,896,134157.7,0.5716,149.58,8516.48,13762.18,10.26,15,target_hit_full,2022-06
TIMKEN,2022-06-17,2022-07-18,2295.67,2644.74,58,133282.01,0.5964,2295.67,10123.03,16438.43,12.33,31,target_hit_full,2022-06
USHAMART,2022-07-20,2022-07-25,124.06,142.16,1134,140824.72,0.6393,124.06,10262.7,16650.13,11.82,5,target_hit_full,2022-07
SHOPERSTOP,2022-07-27,2022-08-04,575.95,575.95,248,142978.44,0.6816,575.95,0.0,5333.39,3.73,8,stop_loss,2022-07
NOCIL,2022-08-01,2022-08-04,267.44,253.21,536,143491.19,0.5938,253.21,-7627.28,-8042.07,-5.6,3,stop_loss,2022-08
TARSONS,2022-07-29,2022-08-08,813.46,754.89,176,143312.13,0.5604,754.89,-10308.32,-10717.21,-7.48,10,stop_loss,2022-07
VSTIND,2022-08-12,2022-08-16,277.51,269.09,510,141671.63,0.549,269.09,-4294.2,-4710.2,-3.32,4,stop_loss,2022-08
LICHSGFIN,2022-08-11,2022-08-22,355.9,355.9,397,141433.59,0.5477,355.9,0.0,3585.51,2.54,11,stop_loss,2022-08
LEMONTREE,2022-08-18,2022-08-22,73.0,68.4,1932,141177.04,0.6337,68.4,-8887.2,-9292.53,-6.58,4,stop_loss,2022-08
USHAMART,2022-08-11,2022-08-25,138.61,135.48,1019,141384.83,0.6725,125.4,-3189.47,-3606.82,-2.55,14,ema_reversal,2022-08
FEDERALBNK,2022-08-22,2022-08-25,104.94,113.29,1337,140445.08,0.5539,104.94,5586.15,8867.38,6.31,3,target_hit_full,2022-08
AMBUJACEM,2022-08-26,2022-09-06,395.04,421.28,358,141565.74,0.5632,395.04,4696.96,7389.53,5.22,11,target_hit_full,2022-08
GSFC,2022-08-01,2022-09-08,141.96,141.25,1010,143522.98,0.6072,132.5,-717.1,-1145.8,-0.8,38,ema_reversal,2022-08
INDIGO,2022-08-24,2022-09-08,1976.66,1889.65,70,138504.57,0.541,1889.65,-6090.7,-6493.62,-4.69,15,stop_loss,2022-08
ADANIPORTS,2022-08-29,2022-09-09,802.29,878.24,177,142147.34,0.5522,802.29,6759.55,10766.54,7.57,11,target_hit_full,2022-08
KRBL,2022-09-09,2022-09-13,300.66,351.9,478,143859.2,0.6514,300.66,12246.36,19938.63,13.86,4,target_hit_full,2022-09
UNOMINDA,2022-08-24,2022-09-16,545.29,545.29,255,139188.0,0.6275,545.29,0.0,5097.57,3.66,23,stop_loss,2022-08
APTUS,2022-09-13,2022-09-16,329.76,304.13,439,144909.4,0.6304,304.13,-11251.57,-11663.36,-8.05,3,stop_loss,2022-09
TITAGARH,2022-09-12,2022-09-19,162.07,148.97,886,143737.61,0.712,148.97,-11606.6,-12014.17,-8.36,7,stop_loss,2022-09
NLCINDIA,2022-09-14,2022-09-23,69.36,67.52,2122,147329.1,0.5686,65.36,-3904.48,-4338.22,-2.94,9,ema_reversal,2022-09
LICHSGFIN,2022-09-20,2022-09-23,394.95,381.2,361,142719.53,0.5543,381.2,-4963.75,-5381.55,-3.77,3,stop_loss,2022-09
IDFCFIRSTB,2022-09-23,2022-09-23,50.53,48.04,2827,142991.16,0.6619,48.04,-7039.23,-7453.7,-5.21,0,stop_loss,2022-09
UJJIVANSFB,2022-09-20,2022-09-26,23.03,21.39,6199,142905.73,0.6996,21.39,-10166.36,-10574.32,-7.4,6,stop_loss,2022-09
BLUESTARCO,2022-09-23,2022-09-28,533.6,524.26,267,142613.67,0.5982,502.6,-2493.78,-2916.21,-2.04,5,ema_reversal,2022-09
INDIACEM,2022-09-26,2022-09-27,249.0,228.49,558,139080.94,0.6483,228.49,-11444.58,-11838.52,-8.51,1,stop_loss,2022-09
