ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
ALOKINDS,2022-01-05,2022-01-06,25.4,25.91,5879,149475.93,0.5919,23.96,2998.29,2544.31,1.7,1,trailing_stop
BRIGADE,2022-01-05,2022-01-06,469.7,441.36,380,178664.49,0.5937,441.36,-10769.2,-11283.12,-6.32,1,stop_loss
INDHOTEL,2022-01-04,2022-01-10,183.09,183.28,491,89987.09,0.6005,174.14,93.29,-176.59,-0.2,6,trailing_stop
TATASTEEL,2022-01-04,2022-01-11,101.48,98.02,885,89899.61,0.5768,98.02,-3062.1,-3325.41,-3.7,7,stop_loss
GALLANTT,2022-01-05,2022-01-11,73.48,69.35,2031,149387.12,0.6102,69.35,-8388.03,-8818.97,-5.9,6,stop_loss
ONWARDTEC,2022-01-07,2022-01-12,272.16,318.58,544,148203.1,0.6527,253.59,25252.48,24757.81,16.71,5,target_hit
JSL,2022-01-12,2022-01-13,188.21,197.66,953,179543.49,0.5982,179.02,9005.85,8449.75,4.71,1,trailing_stop
MAXHEALTH,2022-01-07,2022-01-18,405.65,394.21,365,148210.31,0.6055,385.2,-4175.6,-4611.44,-3.11,11,ema_reversal
BHEL,2022-01-04,2022-01-18,60.14,60.52,1495,89999.21,0.5604,57.56,568.1,297.24,0.33,14,trailing_stop
AXISCADES,2022-01-04,2022-01-18,103.75,122.85,720,74774.7,0.6878,96.11,13752.0,13500.4,18.05,14,target_hit
BRIGADE,2022-01-12,2022-01-18,458.77,493.2,390,179099.22,0.5919,433.05,13427.7,12864.08,7.18,6,trailing_stop
METROPOLIS,2022-01-13,2022-01-18,771.48,730.34,196,151361.29,0.5266,730.34,-8063.44,-8500.94,-5.62,5,stop_loss
CARBORUNIV,2022-01-18,2022-01-21,948.3,890.47,163,154727.47,0.5344,890.47,-9426.29,-9871.16,-6.38,3,stop_loss
RITES,2022-01-04,2022-01-24,114.13,110.27,655,74829.91,0.5541,110.27,-2528.3,-2747.51,-3.67,20,stop_loss
APLAPOLLO,2022-01-14,2022-01-24,917.33,920.49,166,152429.06,0.481,862.98,524.56,66.68,0.04,10,trailing_stop
GMRAIRPORT,2022-01-19,2022-01-24,43.5,40.51,4238,184537.35,0.6133,40.51,-12671.62,-13199.34,-7.15,5,stop_loss
CLEAN,2022-01-19,2022-01-24,2395.73,2253.47,64,153480.05,0.514,2253.47,-9104.64,-9546.41,-6.22,5,stop_loss
CANBK,2022-01-24,2022-01-24,37.7,36.18,2008,75777.3,0.5733,36.18,-3052.16,-3273.16,-4.32,0,stop_loss
FEDERALBNK,2022-01-25,2022-01-25,88.65,90.0,415,36826.54,0.5758,84.55,560.25,448.76,1.22,0,trailing_stop
CHAMBLFERT,2022-01-25,2022-01-28,394.3,400.46,94,37101.26,0.6537,369.55,579.04,466.69,1.26,3,trailing_stop
INDHOTEL,2022-01-25,2022-01-31,192.0,214.9,230,44204.16,0.6294,180.55,5267.0,5123.99,11.59,6,target_hit
CHALET,2022-01-25,2022-01-31,230.69,249.79,160,36947.31,0.6141,214.77,3056.0,2939.16,7.95,6,trailing_stop
COALINDIA,2022-01-24,2022-02-01,113.36,113.65,801,90892.16,0.567,109.69,232.29,-40.58,-0.04,8,trailing_stop
HINDALCO,2022-01-25,2022-02-01,462.11,477.37,95,43944.35,0.524,441.31,1449.7,1315.1,2.99,7,trailing_stop
ARVINDFASN,2022-01-25,2022-02-01,289.0,296.04,128,37028.99,0.6815,266.2,901.12,788.34,2.13,7,trailing_stop
ALKYLAMINE,2022-01-25,2022-02-02,3259.75,3340.11,11,35893.11,0.5795,3072.05,883.96,774.62,2.16,8,trailing_stop
ALOKINDS,2022-01-25,2022-02-02,28.45,28.88,1034,29446.72,0.6764,24.88,444.62,355.48,1.21,8,trailing_stop
BALRAMCHIN,2022-01-25,2022-02-02,379.99,393.05,97,36895.89,0.6976,350.7,1266.82,1153.71,3.13,8,trailing_stop
AUBANK,2022-01-19,2022-02-03,628.61,703.3,244,153534.22,0.6321,591.27,18224.36,17727.77,11.55,15,target_hit
TATACOMM,2022-01-25,2022-02-04,1205.47,1221.45,30,36200.26,0.6064,1106.13,479.4,369.95,1.02,10,sector_rotation
JSL,2022-01-25,2022-02-04,186.83,215.87,236,44135.97,0.6754,172.31,6853.44,6707.46,15.2,10,target_hit
BRIGADE,2022-01-25,2022-02-04,469.95,497.36,94,44219.48,0.6007,433.06,2576.54,2438.86,5.52,10,trailing_stop
SAREGAMA,2022-02-04,2022-02-04,434.82,409.0,178,77475.36,0.6695,409.0,-4595.96,-4818.96,-6.22,0,stop_loss
