date,equity
2022-01-03,995357.43629
2022-01-04,992689.16769
2022-01-05,990232.9676900001
2022-01-06,1006219.68769
2022-01-07,1010927.5076899999
2022-01-10,1047637.1802599999
2022-01-11,1029265.5546899999
2022-01-12,1046649.69305
2022-01-13,1054056.5520900001
2022-01-14,1060906.5920900002
2022-01-17,1069832.4520899998
2022-01-18,1058042.79123
2022-01-19,1063346.7943300002
2022-01-20,1060144.6143300002
2022-01-21,1038539.9043299999
2022-01-24,1011817.81359
2022-01-25,1010759.1787
2022-01-27,1016531.5387000002
2022-01-28,1013587.5617700003
2022-01-31,1023608.1117700002
2022-02-01,1026635.5417700002
2022-02-02,1046698.8017700003
2022-02-03,1048814.03857
2022-02-04,1049832.26857
2022-02-07,1040022.9239700004
2022-02-08,1027543.3660500001
2022-02-09,1033411.0140500003
2022-02-10,1037645.7240500001
2022-02-11,1018997.3398600003
2022-02-14,982857.8997000001
2022-02-15,992364.2159000001
2022-02-16,988370.3103400002
2022-02-17,983917.24034
2022-02-18,978948.8985000001
2022-02-21,969316.8027400002
2022-02-22,960218.11574
2022-02-23,964225.5057400002
2022-02-24,949053.5616600001
2022-02-25,958223.0416600001
2022-02-28,956403.0963800002
2022-03-02,956346.8163800002
2022-03-03,953476.5363800002
2022-03-04,954189.4163800002
2022-03-07,949480.6563800002
2022-03-08,950578.1163800003
2022-03-09,951075.2563800002
2022-03-10,952032.0163800002
2022-03-11,952998.1563800002
2022-03-14,952275.8963800002
2022-03-15,957641.2563800002
2022-03-16,963531.8963800002
2022-03-17,974233.7706600002
2022-03-21,976086.1606600003
2022-03-22,976658.9577200003
2022-03-23,971828.3414000003
2022-03-24,973433.4914000003
2022-03-25,972483.7197400003
2022-03-28,975253.1658600004
2022-03-29,983685.0699600003
2022-03-30,987108.3099600003
2022-03-31,979127.2099600005
2022-04-01,989118.9899600003
2022-04-04,1013985.9705600004
2022-04-05,1041608.5114800003
2022-04-06,1041012.9857300003
2022-04-07,1045549.9690900004
2022-04-08,1054378.0390900006
2022-04-11,1059077.6090900004
2022-04-12,1033890.0333300005
2022-04-13,1040232.1833300005
2022-04-18,1027832.5763300005
2022-04-19,996444.9908800005
2022-04-20,994786.1208800004
2022-04-21,1009923.3108800006
2022-04-22,998791.9008800007
2022-04-25,970724.8999900008
2022-04-26,987800.6799900007
2022-04-27,981623.8399900007
2022-04-28,997307.3999900008
2022-04-29,988112.2155500004
2022-05-02,987513.8855500007
2022-05-04,969889.2214500007
2022-05-05,976212.6062500007
2022-05-06,964274.0823300006
2022-05-09,956826.3145900005
2022-05-10,949685.3142100006
2022-05-11,947732.7780500005
2022-05-12,946053.0686100005
2022-05-13,946053.0686100005
2022-05-16,946053.0686100005
2022-05-17,946053.0686100005
2022-05-18,946053.0686100005
2022-05-19,946053.0686100005
2022-05-20,946053.0686100005
2022-05-23,946053.0686100005
2022-05-24,946053.0686100005
2022-05-25,946053.0686100005
2022-05-26,946053.0686100005
2022-05-27,946053.0686100005
2022-05-30,946407.9107300006
2022-05-31,943103.6721900005
2022-06-01,942685.1272900006
2022-06-02,944535.1472900006
2022-06-03,940346.9921000006
2022-06-06,938149.0100400008
2022-06-07,939183.4600400007
2022-06-08,935578.4863500006
2022-06-09,936222.8563500007
2022-06-10,934678.6504100006
2022-06-13,927369.5224100007
2022-06-14,929576.2724100007
2022-06-15,929666.0424100007
2022-06-16,923158.9424100006
2022-06-17,919841.4317300007
2022-06-20,917733.7409900007
2022-06-21,917170.0209900007
2022-06-22,916168.0832300007
2022-06-23,916168.0832300007
2022-06-24,916168.0832300007
2022-06-27,916168.0832300007
2022-06-28,916168.0832300007
2022-06-29,916168.0832300007
2022-06-30,916168.0832300007
2022-07-01,916168.0832300007
2022-07-04,916168.0832300007
2022-07-05,915838.4729900007
2022-07-06,915847.6729900007
2022-07-07,911946.3069900007
2022-07-08,912681.6819300007
2022-07-11,920493.0019300006
2022-07-12,919342.1119300006
2022-07-13,916035.5419300006
2022-07-14,919767.5707800006
2022-07-15,919763.5890800005
2022-07-18,925134.4908200006
2022-07-19,933626.4881800008
2022-07-20,928316.1045800007
2022-07-21,925183.2145800007
2022-07-22,926286.1084400008
2022-07-25,929601.5800200008
2022-07-26,916900.7291300008
2022-07-27,915975.7752300008
2022-07-28,927740.6335700009
2022-07-29,940545.3735700008
2022-08-01,949144.853570001
2022-08-02,957794.1850000008
2022-08-03,957279.475000001
2022-08-04,945400.3550000009
2022-08-05,944828.416500001
2022-08-08,934877.5275200009
2022-08-10,935881.3746000009
2022-08-11,938755.694600001
2022-08-12,953513.1277200008
2022-08-16,963768.6505400009
2022-08-17,977524.6505400009
2022-08-18,983858.6757000008
2022-08-19,974620.555700001
2022-08-22,959051.3457000009
2022-08-23,965369.4075000009
2022-08-24,970266.037500001
2022-08-25,976020.978860001
2022-08-26,976534.088860001
2022-08-29,960882.681280001
2022-08-30,973521.191280001
2022-09-01,986236.881280001
2022-09-02,992953.7063300009
2022-09-05,985223.722610001
2022-09-06,990164.482610001
2022-09-07,987819.152610001
2022-09-08,988125.442610001
2022-09-09,988143.443570001
2022-09-12,996676.093570001
2022-09-13,1006706.6225500009
2022-09-14,1001048.932550001
2022-09-15,1015003.842550001
2022-09-16,993189.7481700011
2022-09-19,988136.360400001
2022-09-20,1004476.500400001
2022-09-21,991063.2204000009
2022-09-22,991539.2204000009
2022-09-23,969149.0827600012
2022-09-26,937308.1573700011
2022-09-27,940506.0733600011
2022-09-28,933972.8433600011
2022-09-29,946315.1833600012
2022-09-30,957001.5113900012
2022-10-03,947759.8913900009
2022-10-04,977187.942930001
2022-10-06,982216.7335200009
2022-10-07,989578.407640001
2022-10-10,979883.7376400011
2022-10-11,974456.9103200011
2022-10-12,971622.189600001
2022-10-13,959265.5075400012
2022-10-14,962121.5775400011
2022-10-17,973345.1323500013
2022-10-18,995405.2595500015
2022-10-19,997008.0995500011
2022-10-20,998087.0409500012
2022-10-21,986016.6009500012
2022-10-24,996976.9809500012
2022-10-25,993683.0609500012
2022-10-27,1010444.0121100014
2022-10-28,1006536.7321100014
2022-10-31,1014529.8555500014
2022-11-01,1019499.1943200014
2022-11-02,1032266.2107000015
2022-11-03,1034358.1407000014
2022-11-04,1044191.2307000014
2022-11-07,1042949.0807000014
2022-11-09,1055878.3186800014
2022-11-10,1050514.4083200013
2022-11-11,1038924.6638700014
2022-11-14,1042422.1771500014
2022-11-15,1044704.6071500013
2022-11-16,1027153.5087900013
2022-11-17,1016694.5558300016
2022-11-18,1014116.9822300015
2022-11-21,1029754.4922300016
2022-11-22,1034099.5022300015
2022-11-23,1035803.8346100018
2022-11-24,1025279.4746100017
2022-11-25,1025793.6279400017
2022-11-28,1047299.4936300018
2022-11-29,1044674.5436300017
2022-11-30,1060719.363630002
2022-12-01,1066129.673630002
2022-12-02,1063188.0636300016
2022-12-05,1058114.7244300016
2022-12-06,1041034.7544300018
2022-12-07,1033508.1586100019
2022-12-08,1035986.4286100018
2022-12-09,1021377.7586100016
2022-12-12,1015160.1186100019
2022-12-13,1028911.8386100017
2022-12-14,1031346.5686100018
2022-12-15,1020470.5147300019
2022-12-16,997076.0919300019
2022-12-19,1000422.6819300019
2022-12-20,1009590.061930002
2022-12-21,977811.8368000019
2022-12-22,964904.693720002
2022-12-23,928153.278990002
2022-12-26,966277.498990002
2022-12-27,981875.7037100019
2022-12-28,987127.5637100021
2022-12-29,992157.5284900022
2022-12-30,994704.3216900021
2023-01-02,995568.3235000023
2023-01-03,994430.7317000021
2023-01-04,983509.9425000021
2023-01-05,988709.366700002
2023-01-06,980369.4198900022
2023-01-09,990244.7798900022
2023-01-10,985068.2707100023
2023-01-11,979515.3439700023
2023-01-12,979670.0239700023
2023-01-13,985412.0133500024
2023-01-16,990962.7933500024
2023-01-17,986188.0633500022
2023-01-18,990091.5233500022
2023-01-19,989664.4400300025
2023-01-20,983373.0080400023
2023-01-23,981253.6363200024
2023-01-24,966560.4967100024
2023-01-25,960188.4219300025
2023-01-27,937908.0871000023
2023-01-30,938350.8171000023
2023-01-31,953409.3587400024
2023-02-01,921480.5672000024
2023-02-02,917067.6995600024
2023-02-03,915005.9816400027
2023-02-06,914312.6116000026
2023-02-07,914850.1616000027
2023-02-08,916936.0752800026
2023-02-09,908678.4652800027
2023-02-10,907170.2752800027
2023-02-13,889916.7721800026
2023-02-14,887618.0264400027
2023-02-15,889007.7764400027
2023-02-16,890554.2707600028
2023-02-17,885827.8707600026
2023-02-20,869995.4471000027
2023-02-21,862133.5019900028
2023-02-22,854833.3462700027
2023-02-23,864870.9229600027
2023-02-24,854655.3468400027
2023-02-27,832728.8667800028
2023-02-28,844896.3267800028
2023-03-01,849994.7650600028
2023-03-02,850083.1793400027
2023-03-03,871870.9383400029
2023-03-06,871688.8853600028
2023-03-08,875402.2853900027
2023-03-09,875294.9353900028
2023-03-10,871520.4237700028
2023-03-13,856795.6542100027
2023-03-14,846215.5417500029
2023-03-15,847373.0717500028
2023-03-16,846359.1399100028
2023-03-17,847256.9599100028
2023-03-20,851656.7399100028
2023-03-21,851083.0899100029
2023-03-22,849553.8699100028
2023-03-23,850915.2299100028
2023-03-24,848954.0399100028
2023-03-27,846867.3399100029
2023-03-28,843652.5899100029
2023-03-29,847544.1699100028
2023-03-31,847700.364120003
2023-04-03,859956.584460003
2023-04-05,872353.5548200029
2023-04-06,879305.6324000029
2023-04-10,882444.2553000029
2023-04-11,889249.943580003
2023-04-12,889792.693580003
2023-04-13,887422.704190003
2023-04-17,891410.305670003
2023-04-18,893203.385220003
2023-04-19,896812.3230600029
2023-04-20,895465.4889800029
2023-04-21,881541.266660003
2023-04-24,886573.1266600031
2023-04-25,882957.2047100028
2023-04-26,889177.2747100028
2023-04-27,895508.244710003
2023-04-28,896487.3169700031
2023-05-02,893959.1469700029
2023-05-03,888671.096970003
2023-05-04,905436.580010003
2023-05-05,905804.355690003
2023-05-08,914149.885690003
2023-05-09,914705.455690003
2023-05-10,902612.1277700029
2023-05-11,905836.5093100031
2023-05-12,905359.7369900031
2023-05-15,916335.686630003
2023-05-16,926379.723790003
2023-05-17,927385.663790003
2023-05-18,930212.3837900031
2023-05-19,933697.1237900031
2023-05-22,928068.661070003
2023-05-23,929346.7010700032
2023-05-24,927585.3440300032
2023-05-25,936111.1040300031
2023-05-26,940041.194030003
2023-05-29,957965.3740300032
2023-05-30,954679.1181100032
2023-05-31,960567.718110003
2023-06-01,965257.188110003
2023-06-02,962500.3887800032
2023-06-05,965094.8987800032
2023-06-06,956058.8887800032
2023-06-07,965201.8087800031
2023-06-08,960770.8387800031
2023-06-09,970848.368780003
2023-06-12,975847.4087800031
2023-06-13,977410.5487800031
2023-06-14,979522.0887800033
2023-06-15,977358.6587800032
2023-06-16,995004.5549100031
2023-06-19,985115.9425700032
2023-06-20,984202.9382300032
2023-06-21,994992.4682300033
2023-06-22,980480.6758700034
2023-06-23,964721.1397800033
2023-06-26,969725.4564200036
2023-06-27,970865.8464200035
2023-06-28,976822.3364200034
2023-06-30,982797.4064200035
2023-07-03,979662.6664200034
2023-07-04,967010.8580200033
2023-07-05,968036.9280200035
2023-07-06,981984.8271500033
2023-07-07,971332.2875100035
