ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
BRIGADE,2022-01-05,2022-01-06,469.7,441.36,383,180075.0,0.5937,441.36,-10854.22,-11372.2,-6.32,1,stop_loss
ALOKINDS,2022-01-05,2022-01-10,25.4,28.99,5899,149984.43,0.5919,23.96,21177.41,20685.55,13.79,5,target_hit
GALLANTT,2022-01-05,2022-01-11,73.48,69.35,2040,150049.1,0.6102,69.35,-8425.2,-8858.05,-5.9,6,stop_loss
GOKEX,2022-01-05,2022-01-12,323.48,371.81,463,149921.01,0.6613,304.15,22376.79,21882.72,14.6,7,target_hit
MAXHEALTH,2022-01-07,2022-01-18,405.65,394.21,367,149022.42,0.6055,385.2,-4198.48,-4636.7,-3.11,11,ema_reversal
METROPOLIS,2022-01-13,2022-01-17,771.48,738.57,199,153678.04,0.5266,738.57,-6549.09,-6996.57,-4.55,4,stop_loss
AXISCADES,2022-01-05,2022-01-18,103.8,122.89,1443,149933.18,0.6812,96.16,27546.87,27042.43,18.04,13,target_hit
BRIGADE,2022-01-12,2022-01-18,458.77,523.06,397,182313.82,0.5919,433.05,25523.13,24925.69,13.67,6,target_hit
JSL,2022-01-12,2022-01-20,188.21,211.19,972,183123.06,0.5982,179.02,22336.56,21743.07,11.87,8,target_hit
CARBORUNIV,2022-01-18,2022-01-21,948.3,890.47,167,158524.47,0.5344,890.47,-9657.61,-10113.39,-6.38,3,stop_loss
IFCI,2022-01-05,2022-01-24,16.3,14.98,9186,149881.53,0.6099,14.98,-12125.52,-12550.46,-8.37,19,stop_loss
OMAXE,2022-01-18,2022-01-24,91.0,83.21,1747,159135.98,0.6543,83.21,-13609.13,-14058.84,-8.83,6,stop_loss
GMRAIRPORT,2022-01-19,2022-01-24,43.5,41.11,4394,191330.14,0.6133,41.11,-10501.66,-11054.07,-5.78,5,stop_loss
CANBK,2022-01-24,2022-01-24,37.7,36.18,4224,159404.04,0.5733,36.18,-6420.48,-6885.37,-4.32,0,stop_loss
AUBANK,2022-01-19,2022-01-25,628.61,598.73,253,159197.37,0.6321,598.73,-7559.64,-8021.64,-5.04,6,stop_loss
KEC,2022-01-21,2022-01-25,471.5,451.66,409,193036.34,0.5656,451.66,-8114.56,-8676.86,-4.49,4,stop_loss
ELGIEQUIP,2022-02-01,2022-02-03,330.58,391.78,278,91993.14,0.6802,299.98,17013.6,16703.87,18.16,2,target_hit
RAJRATAN,2022-01-31,2022-02-04,540.62,496.16,170,91997.31,0.6616,496.16,-7558.2,-7818.8,-8.5,4,stop_loss
CHAMBLFERT,2022-02-02,2022-02-07,383.43,360.3,399,153141.56,0.626,360.3,-9228.87,-9669.38,-6.31,5,stop_loss
ZENTEC,2022-02-02,2022-02-07,219.7,208.88,695,152844.19,0.5901,208.88,-7519.9,-7962.93,-5.21,5,stop_loss
FINCABLES,2022-02-03,2022-02-08,497.77,475.48,312,155459.54,0.5725,475.48,-6954.48,-7406.48,-4.76,5,stop_loss
DEEPAKNTR,2022-02-02,2022-02-14,2247.61,2132.3,68,152990.32,0.55,2132.3,-7841.08,-8283.91,-5.41,12,stop_loss
RAYMOND,2022-01-25,2022-02-15,728.68,670.77,127,92634.9,0.6836,670.77,-7354.57,-7617.49,-8.22,21,stop_loss
GOKEX,2022-01-25,2022-02-18,364.52,359.53,253,92315.78,0.6723,332.03,-1262.47,-1536.62,-1.66,24,ema_reversal
OMAXE,2022-02-28,2022-03-14,93.55,82.28,782,73229.26,0.6668,82.28,-8813.14,-9014.98,-12.31,14,stop_loss
CHALET,2022-03-04,2022-03-23,255.72,311.02,318,81400.28,0.6502,228.07,17585.4,17306.27,21.26,19,target_hit
BRIGADE,2022-04-07,2022-04-19,495.67,483.05,359,178123.48,0.5921,468.93,-4530.58,-5055.36,-2.84,12,ema_reversal
NOCIL,2022-04-08,2022-04-18,231.0,220.29,643,148681.53,0.6009,220.29,-6886.53,-7318.36,-4.92,10,stop_loss
SUMICHEM,2022-04-08,2022-04-19,417.66,399.71,355,148417.57,0.6028,399.71,-6372.25,-6804.31,-4.58,11,stop_loss
TATAPOWER,2022-04-19,2022-04-19,253.38,240.53,691,175260.67,0.6079,240.53,-8879.35,-9386.85,-5.36,0,stop_loss
RATNAMANI,2022-04-08,2022-04-21,1618.52,1532.26,91,147432.61,0.5746,1532.26,-7849.66,-8275.82,-5.61,13,stop_loss
VIPIND,2022-04-07,2022-04-25,704.91,665.53,210,148179.13,0.6356,665.53,-8269.8,-8697.35,-5.87,18,stop_loss
BANKBARODA,2022-04-19,2022-04-25,101.95,97.79,1434,146342.5,0.5722,97.79,-5965.44,-6392.1,-4.37,6,stop_loss
INDHOTEL,2022-04-20,2022-04-25,242.87,231.28,706,171637.69,0.6513,231.28,-8182.54,-8680.57,-5.06,5,stop_loss
JBMA,2022-04-27,2022-04-28,273.49,258.11,507,138798.09,0.6637,258.11,-7797.66,-8198.04,-5.91,1,stop_loss
INDHOTEL,2022-04-27,2022-05-02,229.01,259.78,725,166198.28,0.5597,216.7,22308.25,21765.54,13.1,5,target_hit
DATAPATTNS,2022-04-27,2022-05-04,804.11,751.71,172,138445.23,0.6162,751.71,-9012.8,-9409.7,-6.8,7,stop_loss
APLAPOLLO,2022-04-29,2022-05-04,1006.89,958.09,140,141105.56,0.5403,958.09,-6832.0,-7241.23,-5.13,5,stop_loss
CONCOR,2022-04-20,2022-05-06,623.12,594.84,275,171529.36,0.5581,594.84,-7777.0,-8275.52,-4.82,16,stop_loss
CRISIL,2022-04-22,2022-05-09,3226.85,3040.23,44,142123.38,0.5452,3040.23,-8211.28,-8620.8,-6.07,17,stop_loss
LEMONTREE,2022-04-05,2022-05-10,64.0,59.47,2312,148115.97,0.6471,59.47,-10473.36,-10896.32,-7.36,35,stop_loss
SUMICHEM,2022-07-21,2022-07-22,467.5,447.65,287,134306.67,0.6,447.65,-5696.95,-6088.07,-4.53,1,stop_loss
USHAMART,2022-07-19,2022-07-25,120.55,139.01,1114,134426.99,0.6542,113.17,20564.44,20120.43,14.97,6,target_hit
HFCL,2022-07-26,2022-08-05,62.51,65.69,2171,135844.92,0.6154,58.7,6903.78,6482.84,4.77,10,sector_rotation
WELCORP,2022-07-19,2022-08-11,206.63,200.73,649,134236.97,0.5906,194.44,-3829.1,-4223.75,-3.15,23,ema_reversal
OMAXE,2022-07-27,2022-08-25,104.0,102.9,1307,136063.93,0.6537,96.4,-1437.7,-1842.61,-1.35,29,ema_reversal
CROMPTON,2022-07-25,2022-08-26,367.26,407.81,439,161388.37,0.595,351.04,17801.45,17282.17,10.71,32,target_hit
BAJFINANCE,2022-08-25,2022-08-29,710.26,683.19,197,140061.14,0.5624,683.19,-5332.79,-5741.89,-4.1,4,stop_loss
PRESTIGE,2022-07-27,2022-09-01,424.07,474.16,384,163005.72,0.6123,404.04,19234.56,18707.56,11.48,36,target_hit
LICHSGFIN,2022-08-11,2022-09-01,355.9,386.34,384,136802.27,0.5477,340.68,11688.96,11255.59,8.23,21,target_hit
DLF,2022-08-05,2022-09-02,362.07,392.93,460,166718.75,0.5745,346.64,14195.6,13667.55,8.2,28,target_hit
CUB,2022-09-05,2022-09-05,175.46,166.23,840,147533.79,0.6381,166.23,-7753.2,-8179.85,-5.54,0,stop_loss
INDIGOPNTS,2022-09-02,2022-09-06,1622.47,1526.79,91,147792.41,0.5529,1526.79,-8706.88,-9132.4,-6.18,4,stop_loss
SUMICHEM,2022-07-25,2022-09-08,446.97,495.46,300,134225.09,0.5905,427.57,14547.0,14115.63,10.52,45,target_hit
ADANIPORTS,2022-08-29,2022-09-09,802.29,878.24,214,171861.75,0.5522,764.32,16253.3,15705.72,9.14,11,target_hit
GSFC,2022-09-02,2022-09-13,142.63,144.48,1037,148055.22,0.513,134.45,1918.45,1470.89,0.99,11,sector_rotation
APLAPOLLO,2022-08-30,2022-09-16,955.5,1087.47,149,142511.87,0.5543,889.51,19663.53,19197.09,13.47,17,target_hit
PFC,2022-09-07,2022-09-16,77.82,75.54,2248,175114.3,0.5119,75.54,-5125.44,-5640.01,-3.22,9,stop_loss
BLUESTARCO,2022-09-19,2022-09-19,537.76,514.08,281,151261.67,0.6066,514.08,-6654.08,-7094.1,-4.69,0,stop_loss
INDIGOPNTS,2022-09-09,2022-09-26,1543.28,1513.31,95,146758.21,0.5132,1456.27,-2847.15,-3281.29,-2.24,17,ema_reversal
LICHSGFIN,2022-09-20,2022-09-23,394.95,383.95,378,149440.39,0.5543,383.95,-4158.0,-4597.56,-3.08,3,stop_loss
FEDERALBNK,2022-09-13,2022-09-26,118.08,112.39,1256,148456.79,0.5893,112.39,-7146.64,-7577.27,-5.1,13,stop_loss
BHEL,2022-09-19,2022-09-26,59.14,56.71,3067,181563.76,0.6111,56.71,-7452.81,-7982.05,-4.4,7,stop_loss
BANKBARODA,2022-09-26,2022-09-26,118.72,113.89,1225,145577.43,0.5796,113.89,-5916.75,-6341.21,-4.36,0,stop_loss
BEL,2022-09-26,2022-09-26,100.93,97.22,1734,175187.63,0.5854,97.22,-6433.14,-6945.31,-3.96,0,stop_loss
CUB,2022-09-06,2022-09-28,174.38,166.59,837,146102.02,0.629,164.59,-6520.23,-6945.06,-4.75,22,ema_reversal
RITES,2022-09-29,2022-10-03,135.46,148.61,622,84340.38,0.5807,128.88,8179.3,7910.17,9.38,4,target_hit
POLYMED,2022-09-12,2022-10-07,863.24,975.17,170,146897.55,0.6219,807.28,19028.1,18549.79,12.63,25,target_hit
BANKBARODA,2022-10-03,2022-10-12,120.45,118.9,1186,142996.55,0.5988,115.1,-1838.3,-2263.18,-1.58,9,ema_reversal
EVEREADY,2022-10-10,2022-10-11,322.07,307.88,459,147977.96,0.5499,307.88,-6513.21,-6943.67,-4.69,1,stop_loss
WELENT,2022-09-27,2022-10-17,118.73,115.4,715,84976.84,0.6876,108.02,-2380.95,-2630.86,-3.1,20,ema_reversal
INDIACEM,2022-09-29,2022-10-14,252.8,230.0,334,84519.64,0.6771,230.0,-7615.2,-7853.28,-9.29,15,stop_loss
FEDERALBNK,2022-10-03,2022-10-17,117.05,129.73,1221,143060.97,0.5716,111.98,15482.28,15022.56,10.5,14,target_hit
CANBK,2022-10-03,2022-10-20,41.21,46.09,3469,143100.45,0.5598,39.26,16928.72,16465.99,11.51,17,target_hit
RAILTEL,2022-10-19,2022-10-28,101.71,114.01,1443,146914.3,0.5794,96.79,17748.9,17273.1,11.76,9,target_hit
LEMONTREE,2022-10-19,2022-11-01,85.95,84.3,1709,147035.44,0.6098,81.77,-2819.85,-3254.88,-2.21,13,ema_reversal
INDHOTEL,2022-10-19,2022-11-02,321.83,339.48,547,176217.05,0.5553,308.23,9654.55,9107.12,5.17,14,sector_rotation
JYOTHYLAB,2022-10-19,2022-11-14,186.36,184.08,788,146998.53,0.584,178.03,-1796.64,-2233.6,-1.52,26,ema_reversal
JTEKTINDIA,2022-09-28,2022-11-14,102.31,117.47,827,84694.98,0.6313,94.73,12537.32,12258.41,14.47,47,target_hit
KIRLOSENG,2022-10-21,2022-11-16,261.61,305.3,562,147171.84,0.6743,244.14,24553.78,24063.6,16.35,26,target_hit
ADANIPOWER,2022-11-02,2022-11-18,70.0,67.99,2587,181271.09,0.5544,66.47,-5199.87,-5732.74,-3.16,16,ema_reversal
CHALET,2022-11-01,2022-11-18,364.6,345.94,412,150365.42,0.6147,345.94,-7687.92,-8123.19,-5.4,17,stop_loss
