date,equity
2022-01-03,995357.43629
2022-01-04,992689.16769
2022-01-05,990232.9676900001
2022-01-06,1006219.68769
2022-01-07,1010927.5076899999
2022-01-10,1048104.96282
2022-01-11,1029733.3372499999
2022-01-12,1047117.47561
2022-01-13,1060859.3156100002
2022-01-14,1064594.2256100003
2022-01-17,1070361.87561
2022-01-18,1056479.6257500001
2022-01-19,1067070.3472300002
2022-01-20,1072129.46243
2022-01-21,1050753.62931
2022-01-24,1026608.80817
2022-01-25,1022566.9131800001
2022-01-27,1017880.2431800001
2022-01-28,1016199.7631800001
2022-01-31,1030418.7431800001
2022-02-01,1046187.2931800002
2022-02-02,1067245.93318
2022-02-03,1056898.1055800002
2022-02-04,1059181.96558
2022-02-07,1037350.88058
2022-02-08,1035923.5105800001
2022-02-09,1054867.48338
2022-02-10,1060546.19338
2022-02-11,1044181.6733800002
2022-02-14,1010678.5663300001
2022-02-15,1048301.27633
2022-02-16,1042354.98633
2022-02-17,1052898.9167800003
2022-02-18,1045618.5267800002
2022-02-21,1032128.7867800002
2022-02-22,1016615.0445800001
2022-02-23,1020574.6145800002
2022-02-24,966177.1205200001
2022-02-25,994019.0473800001
2022-02-28,999892.6273800001
2022-03-02,981192.0873800002
2022-03-03,967588.9192100002
2022-03-04,951457.9399700001
2022-03-07,929794.8179300001
2022-03-08,927623.7929100002
2022-03-09,927572.8915500002
2022-03-10,949122.4315500002
2022-03-11,951784.9515500001
2022-03-14,954748.2915500002
2022-03-15,952959.8715500002
2022-03-16,969417.0215500002
2022-03-17,985451.8115500002
2022-03-21,977836.9615500002
2022-03-22,984885.5415500002
2022-03-23,999589.2865500002
2022-03-24,1008800.7765500002
2022-03-25,1027095.9314900001
2022-03-28,1041394.1219500003
2022-03-29,1046058.6019500003
2022-03-30,1052592.1819500003
2022-03-31,1043612.2919500002
2022-04-01,1054331.2219500002
2022-04-04,1078775.2119500001
2022-04-05,1092955.3348700004
2022-04-06,1095339.4838800002
2022-04-07,1102881.6866400004
2022-04-08,1110610.9366400004
2022-04-11,1118559.7166400002
2022-04-12,1104234.3591200004
2022-04-13,1102688.8191200003
2022-04-18,1089923.1523700003
2022-04-19,1071619.1947300003
2022-04-20,1063378.9747300004
2022-04-21,1096557.0399300004
2022-04-22,1089202.1199300003
2022-04-25,1057851.7436300004
2022-04-26,1072662.4036300003
2022-04-27,1070248.3136300005
2022-04-28,1083012.5436300004
2022-04-29,1072748.0976300004
2022-05-02,1061193.4176300005
2022-05-04,1010313.8922700004
2022-05-05,1035229.1822700005
2022-05-06,1018902.7400700005
2022-05-09,993177.0000700005
2022-05-10,961300.5570900005
2022-05-11,940544.7401000008
2022-05-12,911666.3309800007
2022-05-13,911922.1091800006
2022-05-16,939886.5091800008
2022-05-17,962078.7891800008
2022-05-18,969329.9891800007
2022-05-19,960839.5891800008
2022-05-20,975523.2309400007
2022-05-23,980327.9709400007
2022-05-24,956809.0109400006
2022-05-25,942985.5009400008
2022-05-26,931790.0742600008
2022-05-27,928182.6642600009
2022-05-30,945737.6342600009
2022-05-31,942972.5863600008
2022-06-01,949366.0263600008
2022-06-02,962153.666360001
2022-06-03,950718.6263600008
2022-06-06,958316.2163600008
2022-06-07,956251.7663600008
2022-06-08,943885.6621400008
2022-06-09,953206.6621400007
2022-06-10,953701.4880100009
2022-06-13,916589.0280100007
2022-06-14,920828.465330001
2022-06-15,927979.4925300009
2022-06-16,896009.3825300009
2022-06-17,887458.344610001
2022-06-20,875891.366510001
2022-06-21,886597.2805100009
2022-06-22,874995.6305400011
2022-06-23,882017.3805400011
2022-06-24,888288.5905400009
2022-06-27,900129.070540001
2022-06-28,903147.440540001
2022-06-29,900702.7705400009
2022-06-30,883241.4505400009
2022-07-01,878406.5887400011
2022-07-04,883717.9187400009
2022-07-05,887663.4977000011
2022-07-06,893578.537700001
2022-07-07,905249.665000001
2022-07-08,902874.115000001
2022-07-11,916735.9198000011
2022-07-12,912817.589800001
2022-07-13,916961.429800001
2022-07-14,923826.883140001
2022-07-15,933643.083140001
2022-07-18,943115.3531400011
2022-07-19,944603.1298600009
2022-07-20,936701.4598600011
2022-07-21,944707.209860001
2022-07-22,944119.2369400011
2022-07-25,958017.1648500011
2022-07-26,953141.412850001
2022-07-27,952040.8322400011
2022-07-28,958593.8522400011
2022-07-29,964110.432240001
2022-08-01,971891.482240001
2022-08-02,973271.4922400011
2022-08-03,963162.4522400012
2022-08-04,961318.3640400011
2022-08-05,962047.004040001
2022-08-08,961830.6340400011
2022-08-10,961278.744040001
2022-08-11,973648.524040001
2022-08-12,986378.424040001
2022-08-16,998738.423460001
2022-08-17,1000575.7334600011
2022-08-18,1024958.893460001
2022-08-19,1014609.343640001
2022-08-22,996226.833640001
2022-08-23,1004671.683640001
2022-08-24,1020201.9643400011
2022-08-25,1037095.8606800011
2022-08-26,1044957.810670001
2022-08-29,1025023.0667900011
2022-08-30,1038891.3967900011
2022-09-01,1067397.7560600012
2022-09-02,1064492.5835600013
2022-09-05,1066994.0309600013
2022-09-06,1062969.8209600013
2022-09-07,1070573.6409600014
2022-09-08,1074145.9891200012
2022-09-09,1073647.1566400013
2022-09-12,1081604.0386400013
2022-09-13,1085321.6086400014
2022-09-14,1092709.7986400013
2022-09-15,1096274.9686400013
2022-09-16,1096109.5814000014
2022-09-19,1090692.1381000013
2022-09-20,1102577.1081000015
2022-09-21,1090602.0681000014
2022-09-22,1086144.8781000015
2022-09-23,1066403.4463100014
2022-09-26,1024315.3918000014
2022-09-27,1025366.6961900014
2022-09-28,1016049.9961900015
2022-09-29,1029118.3861900015
2022-09-30,1044209.4719800015
2022-10-03,1026952.7219800015
2022-10-04,1064003.0031400016
2022-10-06,1079015.3831400017
2022-10-07,1088682.7445500016
2022-10-10,1076655.3445500014
2022-10-11,1062365.2194300015
2022-10-12,1073401.4132000015
2022-10-13,1068536.4968600015
2022-10-14,1072940.4003900017
2022-10-17,1092972.0603900019
2022-10-18,1122225.5303900016
2022-10-19,1111746.9403900015
2022-10-20,1103951.7697700018
2022-10-21,1079219.0897700018
2022-10-24,1093806.8997700016
2022-10-25,1094465.719770002
2022-10-27,1109309.9997700017
2022-10-28,1109937.6725700018
2022-10-31,1122977.5625700015
2022-11-01,1122083.7256300016
2022-11-02,1129064.0778500016
2022-11-03,1145453.0978500016
2022-11-04,1165174.0678500016
2022-11-07,1177595.2178500015
2022-11-09,1186636.6790900016
2022-11-10,1184900.0815700018
2022-11-11,1171560.2315700017
2022-11-14,1176914.5681500018
2022-11-15,1169453.3181500016
2022-11-16,1168222.524910002
2022-11-17,1166479.4444300018
2022-11-18,1175394.5044300018
2022-11-21,1190837.3844300017
2022-11-22,1203351.114430002
2022-11-23,1212679.540370002
2022-11-24,1203470.470370002
2022-11-25,1218335.0752200019
2022-11-28,1235958.3070500023
2022-11-29,1229733.3470500018
2022-11-30,1243112.8270500018
2022-12-01,1250432.5170500018
2022-12-02,1249485.4570500022
2022-12-05,1242812.047050002
2022-12-06,1264472.015990002
2022-12-07,1253924.065030002
2022-12-08,1266873.215030002
2022-12-09,1252874.495030002
2022-12-12,1266790.155030002
2022-12-13,1278433.255030002
2022-12-14,1289500.655030002
2022-12-15,1270937.528910002
2022-12-16,1246975.768110002
2022-12-19,1255725.768110002
2022-12-20,1250120.4230300018
2022-12-21,1205680.6063300022
2022-12-22,1194240.9559300023
2022-12-23,1157115.8558700022
2022-12-26,1190729.5958700022
2022-12-27,1198210.0938800024
2022-12-28,1206732.7138800023
2022-12-29,1225158.5807200023
2022-12-30,1231568.9801600024
2023-01-02,1236790.2878000028
2023-01-03,1232960.2678000024
2023-01-04,1214103.9511000025
2023-01-05,1227177.3518000024
2023-01-06,1214473.7946100028
2023-01-09,1234338.8146100026
2023-01-10,1220892.2128300024
2023-01-11,1212248.0728300025
2023-01-12,1207749.6928300024
2023-01-13,1217004.3528300026
2023-01-16,1221223.8728300026
2023-01-17,1212372.6528300024
2023-01-18,1213680.0728300025
2023-01-19,1212334.9428300024
2023-01-20,1212416.5928300025
2023-01-23,1209217.9728300024
2023-01-24,1191519.5671700025
2023-01-25,1193634.7507900028
2023-01-27,1161032.6850800028
2023-01-30,1158699.9950800026
2023-01-31,1186200.0250800028
2023-02-01,1173057.1074300027
2023-02-02,1177241.2574300028
2023-02-03,1195940.1374300027
2023-02-06,1198329.0416500028
2023-02-07,1192939.4016500027
2023-02-08,1188614.910900003
2023-02-09,1186555.861540003
2023-02-10,1189422.0590600031
2023-02-13,1175811.716480003
2023-02-14,1167931.5991800032
2023-02-15,1163390.429180003
2023-02-16,1170196.586900003
2023-02-17,1167193.2161800028
2023-02-20,1158648.956080003
2023-02-21,1159206.552820003
2023-02-22,1154472.097100003
2023-02-23,1156903.917100003
2023-02-24,1144301.5871000031
2023-02-27,1127263.483560003
2023-02-28,1175484.773560003
2023-03-01,1195348.2435600031
2023-03-02,1195927.413560003
2023-03-03,1215474.674020003
2023-03-06,1219656.627460003
2023-03-08,1209171.814090003
2023-03-09,1210903.094090003
2023-03-10,1206352.764090003
2023-03-13,1193631.813170003
2023-03-14,1173210.5061100032
2023-03-15,1159906.728130003
2023-03-16,1150192.3359400034
2023-03-17,1170294.1559400032
2023-03-20,1154493.3105600032
2023-03-21,1156882.7605600033
2023-03-22,1156023.4905600033
2023-03-23,1159004.7901000034
2023-03-24,1134349.4228200032
2023-03-27,1115850.3066600035
2023-03-28,1096090.2829600035
2023-03-29,1107275.4259600036
2023-03-31,1121439.5359600035
2023-04-03,1128719.7030800036
2023-04-05,1138233.0630800037
2023-04-06,1142578.7792000035
2023-04-10,1155496.3292000035
2023-04-11,1162394.7792000035
2023-04-12,1168164.6258000038
2023-04-13,1170252.2258000034
2023-04-17,1167379.0288300037
2023-04-18,1175856.4056300037
2023-04-19,1176691.5012300035
2023-04-20,1171707.0312300036
2023-04-21,1157888.2612300036
2023-04-24,1147774.5512300036
2023-04-25,1154113.9175900035
2023-04-26,1166688.9575900035
2023-04-27,1172808.1675900037
2023-04-28,1181341.7875900036
2023-05-02,1187898.6775900037
2023-05-03,1183070.7127200034
2023-05-04,1199518.5386900036
2023-05-05,1200781.2386900035
2023-05-08,1208456.9386900035
2023-05-09,1203940.2286900035
2023-05-10,1198511.0736500036
2023-05-11,1209634.0236500036
2023-05-12,1227505.0922400036
2023-05-15,1234922.728380004
2023-05-16,1241546.0383800038
2023-05-17,1232758.6483800039
2023-05-18,1227445.718380004
2023-05-19,1221895.3498100038
2023-05-22,1206863.9290900037
2023-05-23,1204176.6490900037
2023-05-24,1202046.6790900037
2023-05-25,1215067.649090004
2023-05-26,1216433.1590900037
2023-05-29,1223668.2033400037
2023-05-30,1231962.5836200037
2023-05-31,1236215.851420004
2023-06-01,1238995.2614200038
2023-06-02,1250411.0614200039
2023-06-05,1258016.191420004
2023-06-06,1261621.7814200039
2023-06-07,1265959.581420004
2023-06-08,1253806.9014200037
2023-06-09,1259496.951420004
2023-06-12,1266972.0314200039
2023-06-13,1271886.5014200038
2023-06-14,1263772.2378500039
2023-06-15,1251263.4078500038
2023-06-16,1273385.1442800038
2023-06-19,1273935.241800004
2023-06-20,1284649.961800004
