ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
ALOKINDS,2022-01-05,2022-01-10,25.4,28.99,5863,149069.12,0.5919,23.96,21048.17,20559.31,13.79,5,target_hit
TATASTEEL,2022-01-04,2022-01-11,101.48,98.02,1474,149731.1,0.5768,98.02,-5100.04,-5538.58,-3.7,7,stop_loss
INDHOTEL,2022-01-04,2022-01-12,183.09,205.47,817,149734.11,0.6005,174.14,18284.46,17799.14,11.89,8,target_hit
MAXHEALTH,2022-01-11,2022-01-18,397.19,394.21,394,156649.35,0.6258,377.02,-1174.12,-1641.25,-1.05,7,ema_reversal
AXISCADES,2022-01-04,2022-01-18,103.75,122.85,1439,149445.55,0.6878,96.11,27484.9,26982.04,18.05,14,target_hit
METROPOLIS,2022-01-13,2022-01-18,771.48,730.34,202,155994.8,0.5266,730.34,-8310.28,-8761.18,-5.62,5,stop_loss
JSL,2022-01-12,2022-01-20,188.21,211.19,820,154486.53,0.5982,179.02,18843.6,18342.92,11.87,8,target_hit
HCLTECH,2022-01-19,2022-01-21,1029.42,1000.09,153,157658.76,0.4888,982.02,-4487.49,-4951.02,-3.14,2,ema_reversal
CARBORUNIV,2022-01-18,2022-01-24,948.3,859.33,168,159473.71,0.5344,890.47,-14946.96,-15395.01,-9.65,6,ema_reversal
BHEL,2022-01-04,2022-01-25,60.14,56.2,2491,149958.55,0.5604,57.56,-9814.54,-10244.34,-6.83,21,ema_reversal
RITES,2022-01-04,2022-01-24,114.13,110.27,1308,149431.32,0.5541,110.27,-5048.88,-5486.63,-3.67,20,stop_loss
GMRAIRPORT,2022-01-19,2022-01-24,43.5,40.51,3622,157714.56,0.6133,40.51,-10829.78,-11280.79,-7.15,5,stop_loss
AFFLE,2022-01-21,2022-01-24,1375.0,1300.43,115,158283.12,0.591,1300.43,-8575.55,-9032.77,-5.71,3,stop_loss
CANBK,2022-01-24,2022-01-24,37.7,36.18,4132,155932.18,0.5733,36.18,-6280.64,-6735.41,-4.32,0,stop_loss
BAJFINANCE,2022-01-25,2022-01-27,676.99,669.49,222,150442.07,0.5305,641.59,-1665.0,-2112.55,-1.4,2,ema_reversal
FEDERALBNK,2022-01-25,2022-01-28,88.65,96.85,1703,151121.92,0.5758,84.55,13964.6,13483.76,8.92,3,target_hit
AUBANK,2022-01-21,2022-02-02,620.82,691.82,256,159088.85,0.6142,592.42,18176.0,17662.86,11.1,12,target_hit
COALINDIA,2022-01-25,2022-02-09,111.07,120.45,1357,150872.71,0.5324,106.38,12728.66,12251.04,8.12,15,target_hit
CHAMBLFERT,2022-02-03,2022-02-14,366.39,343.1,437,160272.54,0.6989,343.1,-10177.73,-10637.71,-6.64,11,stop_loss
CANBK,2022-02-10,2022-02-14,45.56,43.39,3505,159847.49,0.5964,43.39,-7605.85,-8069.7,-5.05,4,stop_loss
MOTHERSON,2022-01-27,2022-02-15,76.47,72.1,1990,152327.48,0.6012,72.1,-8696.3,-9135.43,-6.0,19,stop_loss
