date,equity
2022-01-03,995992.6069199999
2022-01-04,993403.35672
2022-01-05,990718.52672
2022-01-06,1006184.6167199999
2022-01-07,1011328.91672
2022-01-10,1045409.25712
2022-01-11,1028877.0819599997
2022-01-12,1043979.44502
2022-01-13,1055240.60502
2022-01-14,1058694.61502
2022-01-17,1063873.03314
2022-01-18,1050973.52522
2022-01-19,1060383.26522
2022-01-20,1062408.39116
2022-01-21,1039411.2798800002
2022-01-24,1007494.6854000001
2022-01-25,1015852.6565400001
2022-01-27,1021218.8165400001
2022-01-28,1019873.79835
2022-01-31,1034932.75835
2022-02-01,1048662.8783500001
2022-02-02,1069548.0840800002
2022-02-03,1060868.6340800002
2022-02-04,1058236.96408
2022-02-07,1044971.2940800001
2022-02-08,1046977.3140800002
2022-02-09,1065390.7149800002
2022-02-10,1069020.1849800001
2022-02-11,1043113.4949800002
2022-02-14,1018585.1546800003
2022-02-15,1044187.6977000004
2022-02-16,1037671.7877000003
2022-02-17,1045862.6557700003
2022-02-18,1039262.2857700002
2022-02-21,1030809.1383900003
2022-02-22,1024969.8082500005
2022-02-23,1029855.2082500004
2022-02-24,980160.7538100003
2022-02-25,1007411.6476900005
2022-02-28,1018155.7776900004
2022-03-02,1002689.7843300004
2022-03-03,993218.9665200004
2022-03-04,974795.8565200004
2022-03-07,951934.7401600004
2022-03-08,952580.7401600004
2022-03-09,942279.6613200007
2022-03-10,964669.3713200006
2022-03-11,968162.5513200006
2022-03-14,974403.6013200006
2022-03-15,971609.7313200007
2022-03-16,991755.0013200005
2022-03-17,1005897.2713200008
2022-03-21,999037.8013200008
2022-03-22,1007450.2913200008
2022-03-23,1016287.9209300007
2022-03-24,1020707.3309300006
2022-03-25,1039008.0445700006
2022-03-28,1052495.1692900008
2022-03-29,1059029.8992900008
2022-03-30,1065434.7492900006
2022-03-31,1056777.2092900008
2022-04-01,1069647.5892900007
2022-04-04,1090220.3592900007
2022-04-05,1096588.0583300008
2022-04-06,1101412.4483300007
2022-04-07,1105956.3752900008
2022-04-08,1115127.7752900007
2022-04-11,1121510.5652900008
2022-04-12,1111212.2291300008
2022-04-13,1112603.1691300008
2022-04-18,1099406.0175900008
2022-04-19,1089861.5575900008
2022-04-20,1082563.6251300008
2022-04-21,1115549.8168100007
2022-04-22,1108217.5368100007
2022-04-25,1077406.324330001
2022-04-26,1093461.8619100007
2022-04-27,1089362.7819100008
2022-04-28,1104159.6567900009
2022-04-29,1104740.7701000008
2022-05-02,1103985.0383600008
2022-05-04,1047828.286890001
2022-05-05,1067798.3368900008
2022-05-06,1054286.686890001
2022-05-09,1036340.8142900009
2022-05-10,1005696.708880001
2022-05-11,988361.240960001
2022-05-12,953255.7348600012
2022-05-13,952051.0466400014
2022-05-16,987025.7566400014
2022-05-17,1019971.5066400013
2022-05-18,1032129.6266400014
2022-05-19,1011194.5766400015
2022-05-20,1025116.1917200014
2022-05-23,1028759.5898400014
2022-05-24,1006815.2929500015
2022-05-25,985255.9329500014
2022-05-26,959346.8175400016
2022-05-27,957683.7575400017
2022-05-30,992835.9475400015
2022-05-31,999254.9571100016
2022-06-01,1007842.7871100017
2022-06-02,1016669.3571100016
2022-06-03,1008045.9471100016
2022-06-06,1011559.3371100016
2022-06-07,1012448.8771100015
2022-06-08,1001856.7271100015
2022-06-09,1012591.2571100015
2022-06-10,1012935.9836100015
2022-06-13,973159.6036100016
2022-06-14,972020.7516700015
2022-06-15,979422.6116700016
2022-06-16,942855.2473700015
2022-06-17,932209.4040900016
2022-06-20,920666.7349100016
2022-06-21,929388.2401000017
2022-06-22,912272.7462000017
2022-06-23,923267.5462000017
2022-06-24,929866.8562000017
2022-06-27,942709.5162000017
2022-06-28,947950.3862000017
2022-06-29,936162.9094400017
2022-06-30,919180.0794400016
2022-07-01,911842.5946400017
2022-07-04,916379.0551000016
2022-07-05,923284.6451000017
2022-07-06,923814.2051000018
2022-07-07,941225.9044200018
2022-07-08,949824.9244200017
2022-07-11,955340.1847600017
2022-07-12,954165.1847600017
2022-07-13,962785.8747600017
2022-07-14,964533.5550600018
2022-07-15,972506.6850600017
2022-07-18,981736.6150600017
2022-07-19,986279.2301300018
2022-07-20,973750.4901300017
2022-07-21,983936.9201300017
2022-07-22,980534.0635300018
2022-07-25,974026.2626800018
2022-07-26,970956.4313300018
2022-07-27,969440.0030900019
2022-07-28,969320.664550002
2022-07-29,971539.8825100019
2022-08-01,983432.6025100019
2022-08-02,982990.3950700018
2022-08-03,964340.8339300021
2022-08-04,958143.4956900019
2022-08-05,953991.9456900018
2022-08-08,950063.915690002
2022-08-10,948346.004650002
2022-08-11,963377.6746500019
2022-08-12,970122.354650002
2022-08-16,978434.754650002
2022-08-17,981778.984650002
2022-08-18,999085.9329500019
2022-08-19,983733.7229500018
2022-08-22,963928.782950002
2022-08-23,975539.102950002
2022-08-24,983896.2349300021
2022-08-25,1003152.428530002
2022-08-26,1009108.092300002
2022-08-29,990204.3489200019
2022-08-30,1004307.156220002
2022-09-01,1032223.931540002
2022-09-02,1033662.7152600021
2022-09-05,1040972.2598200019
2022-09-06,1038153.118680002
2022-09-07,1041434.608440002
2022-09-08,1042923.698440002
2022-09-09,1045069.287480002
2022-09-12,1050227.5274800023
2022-09-13,1053162.607480002
2022-09-14,1058563.7074800022
2022-09-15,1057897.5074800022
2022-09-16,1030963.7068800023
2022-09-19,1043756.0510800022
2022-09-20,1056560.9210800023
2022-09-21,1050251.7910800022
2022-09-22,1050618.151080002
2022-09-23,1035380.149790002
2022-09-26,997002.8183300024
2022-09-27,1004433.6415100023
2022-09-28,993666.0199900023
2022-09-29,1006234.5699900024
2022-09-30,1040546.9533900025
2022-10-03,1020844.3933900024
2022-10-04,1058807.1883600024
2022-10-06,1063365.3056000024
2022-10-07,1066583.7956000024
2022-10-10,1057242.8956000023
2022-10-11,1045346.6367000022
2022-10-12,1044950.1384500024
2022-10-13,1025831.5749300023
2022-10-14,1023856.1147900023
2022-10-17,1039136.8047900024
2022-10-18,1053128.7983500024
2022-10-19,1058141.1083500022
2022-10-20,1060635.2758000025
2022-10-21,1044012.3958000025
2022-10-24,1054040.9658000025
2022-10-25,1053933.5258000025
2022-10-27,1073838.0274000023
2022-10-28,1061922.9374000025
2022-10-31,1073819.9874000023
2022-11-01,1072452.8987400024
2022-11-02,1080910.0809600023
2022-11-03,1088367.9309600024
2022-11-04,1103401.7109600024
2022-11-07,1114445.6809600024
2022-11-09,1122473.0894000023
2022-11-10,1124955.0511600024
2022-11-11,1109570.0530500025
2022-11-14,1115786.0161300027
2022-11-15,1112137.7261300026
2022-11-16,1094526.6972700024
2022-11-17,1092968.3430300027
2022-11-18,1093701.9530300028
2022-11-21,1109628.2630300026
2022-11-22,1115764.5230300026
2022-11-23,1125053.1102800025
2022-11-24,1113892.7102800026
2022-11-25,1119245.9133200026
2022-11-28,1144433.4820400025
2022-11-29,1137669.7320400025
2022-11-30,1148208.0546000027
2022-12-01,1159894.1846000026
2022-12-02,1156714.1646000026
2022-12-05,1156531.9546000026
2022-12-06,1169659.9108400026
2022-12-07,1165731.7784400024
2022-12-08,1176415.4284400025
2022-12-09,1161825.9784400025
2022-12-12,1162836.0884400024
2022-12-13,1180643.3184400026
2022-12-14,1186308.3284400026
2022-12-15,1175633.2084400025
2022-12-16,1151060.8484400027
2022-12-19,1158291.3584400024
2022-12-20,1168095.4684400025
2022-12-21,1137849.6699800026
2022-12-22,1129212.2031000026
2022-12-23,1082414.1974600025
2022-12-26,1114072.7074600025
2022-12-27,1114536.0506200027
2022-12-28,1125404.4906200026
2022-12-29,1141019.6637400028
2022-12-30,1145009.1537400028
2023-01-02,1149986.3437400027
2023-01-03,1150439.2337400028
2023-01-04,1135943.0719400027
2023-01-05,1149062.7962100026
2023-01-06,1144827.7562100026
2023-01-09,1162071.5170900028
2023-01-10,1151136.8374500028
2023-01-11,1151507.957450003
2023-01-12,1147222.0174500027
2023-01-13,1157490.0874500028
2023-01-16,1167792.737450003
2023-01-17,1161460.0774500028
2023-01-18,1160856.517450003
2023-01-19,1165124.8643300026
2023-01-20,1163755.8943300028
2023-01-23,1161102.8943300028
2023-01-24,1143471.203190003
2023-01-25,1140860.2213900029
2023-01-27,1100649.751270003
2023-01-30,1096295.7812700032
2023-01-31,1121533.9712700031
2023-02-01,1098113.7520300031
2023-02-02,1103498.5320300031
2023-02-03,1123356.7320300029
2023-02-06,1117903.561370003
2023-02-07,1121210.371370003
2023-02-08,1129562.156590003
2023-02-09,1128655.7465900031
2023-02-10,1129273.044030003
2023-02-13,1115730.411830003
2023-02-14,1123824.001830003
2023-02-15,1119536.351830003
2023-02-16,1126154.331830003
2023-02-17,1133302.1518300031
2023-02-20,1127103.943710003
2023-02-21,1126924.0786500028
2023-02-22,1121262.135330003
2023-02-23,1124294.8227400028
2023-02-24,1108109.142740003
2023-02-27,1084586.434330003
2023-02-28,1112596.208530003
2023-03-01,1131327.068530003
2023-03-02,1132629.8485300029
2023-03-03,1152149.1916500032
2023-03-06,1170862.6007700032
2023-03-08,1165274.483150003
2023-03-09,1161351.123150003
2023-03-10,1153435.4805700032
2023-03-13,1130485.331370003
2023-03-14,1100621.9776400032
2023-03-15,1097602.5819300031
2023-03-16,1088167.7533800032
2023-03-17,1108922.393380003
2023-03-20,1090498.263100003
