date,rules_only,rules_ml,hybrid
2022-01-03,1000000.0,1000000.0,1000000.0
2022-01-04,1000000.0,1000000.0,1000000.0
2022-01-05,1000000.0,1000000.0,1000000.0
2022-01-06,1000000.0,991507.97,991507.97
2022-01-07,1000000.0,991507.97,991507.97
2022-01-10,1000000.0,991507.97,991507.97
2022-01-11,1000000.0,986521.74,986521.74
2022-01-12,1000000.0,1002534.43,1002534.43
2022-01-13,1000000.0,1002534.43,1002534.43
2022-01-14,1000000.0,1002534.43,1002534.43
2022-01-17,1000000.0,1002534.43,1002534.43
2022-01-18,1000000.0,1018437.48,1018437.48
2022-01-19,1000000.0,1018437.48,1018437.48
2022-01-20,1000000.0,1039666.05,1039666.05
2022-01-21,1000000.0,1032081.95,1032081.95
2022-01-24,1000000.0,1001684.66,1001684.66
2022-01-25,1000000.0,1001684.66,1001684.66
2022-01-26,1000000.0,1001684.66,1001684.66
2022-01-27,1000000.0,1001684.66,1001684.66
2022-01-28,1000000.0,1001684.66,1001684.66
2022-01-31,1000000.0,1001684.66,1001684.66
2022-02-01,1000000.0,1001684.66,1001684.66
2022-02-02,1000000.0,1016122.35,1016122.35
2022-02-03,1000000.0,1033850.12,1033850.12
2022-02-04,1000000.0,1033850.12,1033850.12
2022-02-07,1000000.0,1052892.2899999998,1052892.2899999998
2022-02-08,1000000.0,1052892.2899999998,1052892.2899999998
2022-02-09,1000000.0,1052892.2899999998,1052892.2899999998
2022-02-10,1000000.0,1052892.2899999998,1052892.2899999998
2022-02-11,1000000.0,1052892.2899999998,1052892.2899999998
2022-02-14,1000000.0,1028790.2799999998,1028790.2799999998
2022-02-15,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-16,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-17,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-18,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-21,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-22,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-23,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-24,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-25,1000000.0,1004040.4499999998,1004040.4499999998
2022-02-28,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-01,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-02,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-03,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-04,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-07,999515.70837,1004040.4499999998,1004040.4499999998
2022-03-08,998411.46837,1004040.4499999998,1004040.4499999998
2022-03-09,999724.35837,1004040.4499999998,1004040.4499999998
2022-03-10,1000088.15837,1004040.4499999998,1004040.4499999998
2022-03-11,1004051.43837,1004040.4499999998,1004040.4499999998
2022-03-14,1005582.60837,1004040.4499999998,1004040.4499999998
2022-03-15,1001900.73837,1004040.4499999998,1004040.4499999998
2022-03-16,1003858.83837,1004040.4499999998,1004040.4499999998
2022-03-17,1003217.90837,1004040.4499999998,1004040.4499999998
2022-03-18,1000000.0,1004040.4499999998,1004040.4499999998
2022-03-21,1005322.59837,1004040.4499999998,1004040.4499999998
2022-03-22,1004473.01837,1004040.4499999998,1004040.4499999998
2022-03-23,1004790.80837,1004040.4499999998,1004040.4499999998
2022-03-24,1004327.49837,1004040.4499999998,1004040.4499999998
2022-03-25,1003135.51837,1004040.4499999998,1004040.4499999998
2022-03-28,1003197.57837,1004040.4499999998,1004040.4499999998
2022-03-29,1002421.82837,1004040.4499999998,1004040.4499999998
2022-03-30,1003411.57837,1004040.4499999998,1004040.4499999998
2022-03-31,1004265.43837,1004040.4499999998,1004040.4499999998
2022-04-01,1003582.77837,1004040.4499999998,1004040.4499999998
2022-04-04,1005900.39837,1004040.4499999998,1004040.4499999998
