Ticker,Rows,Date_From,Date_To,Missing%,Status
ADANIPORTS,1236,2021-03-30,2026-03-27,0.0,OK
ADANIENT,1236,2021-03-30,2026-03-27,0.0,OK
ADANIGREEN,1236,2021-03-30,2026-03-27,0.0,OK
ADANIPOWER,1236,2021-03-30,2026-03-27,0.0,OK
ADANIENSOL,641,2023-08-16,2026-03-27,0.0,OK
APOLLOHOSP,1236,2021-03-30,2026-03-27,0.0,OK
ASIANPAINT,1236,2021-03-30,2026-03-27,0.0,OK
AXISBANK,1236,2021-03-30,2026-03-27,0.0,OK
BAJAJ-AUTO,1236,2021-03-30,2026-03-27,0.0,OK
BAJFINANCE,1236,2021-03-30,2026-03-27,0.0,OK
BAJAJFINSV,1236,2021-03-30,2026-03-27,0.0,OK
BAJAJHLDNG,1236,2021-03-30,2026-03-27,0.0,OK
BANKBARODA,1236,2021-03-30,2026-03-27,0.0,OK
BEL,1236,2021-03-30,2026-03-27,0.0,OK
BHARATFORG,1235,2021-03-30,2026-03-27,0.0,OK
BHARTIARTL,1236,2021-03-30,2026-03-27,0.0,OK
BHEL,1236,2021-03-30,2026-03-27,0.0,OK
BIOCON,1236,2021-03-30,2026-03-27,0.0,OK
BOSCHLTD,1236,2021-03-30,2026-03-27,0.0,OK
BPCL,1236,2021-03-30,2026-03-27,0.0,OK
BRITANNIA,1236,2021-03-30,2026-03-27,0.0,OK
CANBK,1236,2021-03-30,2026-03-27,0.0,OK
CHOLAFIN,1236,2021-03-30,2026-03-27,0.0,OK
CIPLA,1236,2021-03-30,2026-03-27,0.0,OK
COALINDIA,1236,2021-03-30,2026-03-27,0.0,OK
COLPAL,1236,2021-03-30,2026-03-27,0.0,OK
CONCOR,1236,2021-03-30,2026-03-27,0.0,OK
CROMPTON,1236,2021-03-30,2026-03-27,0.0,OK
CUB,1236,2021-03-30,2026-03-27,0.0,OK
CUMMINSIND,1236,2021-03-30,2026-03-27,0.0,OK
DABUR,1236,2021-03-30,2026-03-27,0.0,OK
DIVISLAB,1236,2021-03-30,2026-03-27,0.0,OK
DLF,1236,2021-03-30,2026-03-27,0.0,OK
DRREDDY,1236,2021-03-30,2026-03-27,0.0,OK
EICHERMOT,1236,2021-03-30,2026-03-27,0.0,OK
ESCORTS,1236,2021-03-30,2026-03-27,0.0,OK
EXIDEIND,1236,2021-03-30,2026-03-27,0.0,OK
FEDERALBNK,1236,2021-03-30,2026-03-27,0.0,OK
GAIL,1236,2021-03-30,2026-03-27,0.0,OK
GLENMARK,1236,2021-03-30,2026-03-27,0.0,OK
GMRAIRPORT,1236,2021-03-30,2026-03-27,0.0,OK
GODREJCP,1236,2021-03-30,2026-03-27,0.0,OK
GODREJPROP,1236,2021-03-30,2026-03-27,0.0,OK
GRANULES,1235,2021-03-30,2026-03-27,0.0,OK
GRASIM,1236,2021-03-30,2026-03-27,0.0,OK
HCLTECH,1236,2021-03-30,2026-03-27,0.0,OK
HDFCAMC,1236,2021-03-30,2026-03-27,0.0,OK
HDFCBANK,1236,2021-03-30,2026-03-27,0.0,OK
HDFCLIFE,1236,2021-03-30,2026-03-27,0.0,OK
HEROMOTOCO,1236,2021-03-30,2026-03-27,0.0,OK
HINDALCO,1236,2021-03-30,2026-03-27,0.0,OK
HINDPETRO,1236,2021-03-30,2026-03-27,0.0,OK
HINDUNILVR,1236,2021-03-30,2026-03-27,0.0,OK
HONAUT,1235,2021-03-30,2026-03-27,0.0,OK
ICICIBANK,1236,2021-03-30,2026-03-27,0.0,OK
ICICIGI,1236,2021-03-30,2026-03-27,0.0,OK
ICICIPRULI,1236,2021-03-30,2026-03-27,0.0,OK
IDFCFIRSTB,1236,2021-03-30,2026-03-27,0.0,OK
IEX,1236,2021-03-30,2026-03-27,0.0,OK
IGL,1236,2021-03-30,2026-03-27,0.0,OK
INDHOTEL,1236,2021-03-30,2026-03-27,0.0,OK
INDIGO,1236,2021-03-30,2026-03-27,0.0,OK
INDUSINDBK,1236,2021-03-30,2026-03-27,0.0,OK
INDUSTOWER,1236,2021-03-30,2026-03-27,0.0,OK
INFY,1236,2021-03-30,2026-03-27,0.0,OK
IOC,1236,2021-03-30,2026-03-27,0.0,OK
IPCALAB,1235,2021-03-30,2026-03-27,0.0,OK
IRCTC,1236,2021-03-30,2026-03-27,0.0,OK
ITC,1236,2021-03-30,2026-03-27,0.0,OK
JINDALSTEL,1236,2021-03-30,2026-03-27,0.0,OK
JKCEMENT,1236,2021-03-30,2026-03-27,0.0,OK
JSL,1236,2021-03-30,2026-03-27,0.0,OK
JSWSTEEL,1236,2021-03-30,2026-03-27,0.0,OK
JUBLFOOD,1236,2021-03-30,2026-03-27,0.0,OK
KOTAKBANK,1236,2021-03-30,2026-03-27,0.0,OK
LALPATHLAB,1236,2021-03-30,2026-03-27,0.0,OK
LAURUSLABS,1236,2021-03-30,2026-03-27,0.0,OK
LICHSGFIN,1236,2021-03-30,2026-03-27,0.0,OK
LT,1236,2021-03-30,2026-03-27,0.0,OK
LTIM,1237,2021-03-25,2026-03-25,0.0,OK
LTTS,1236,2021-03-30,2026-03-27,0.0,OK
LUPIN,1236,2021-03-30,2026-03-27,0.0,OK
M&M,1236,2021-03-30,2026-03-27,0.0,OK
MARICO,1236,2021-03-30,2026-03-27,0.0,OK
MARUTI,1236,2021-03-30,2026-03-27,0.0,OK
MCDOWELL-N,0,,,100.0,ERROR
METROPOLIS,1236,2021-03-30,2026-03-27,0.0,OK
MFSL,1236,2021-03-30,2026-03-27,0.0,OK
MGL,1236,2021-03-30,2026-03-27,0.0,OK
MOTHERSON,1236,2021-03-30,2026-03-27,0.0,OK
MPHASIS,1236,2021-03-30,2026-03-27,0.0,OK
MRF,1235,2021-03-30,2026-03-27,0.0,OK
MUTHOOTFIN,1236,2021-03-30,2026-03-27,0.0,OK
NATIONALUM,1236,2021-03-30,2026-03-27,0.0,OK
NAUKRI,1236,2021-03-30,2026-03-27,0.0,OK
NAVINFLUOR,1235,2021-03-30,2026-03-27,0.0,OK
