Ticker,Total_Rows,Feature_Rows,NaN_target_rows,Any_warnings,Status
ADANIPORTS,1236,1176,10,,OK
ADANIENT,1236,1176,10,,OK
ADANIGREEN,1236,1176,10,,OK
ADANIPOWER,1236,1176,10,,OK
ADANIENSOL,641,581,10,,OK
APOLLOHOSP,1236,1176,10,,OK
ASIANPAINT,1236,1176,10,,OK
AXISBANK,1236,1176,10,,OK
BAJAJ-AUTO,1236,1176,10,,OK
BAJFINANCE,1236,1176,10,,OK
BAJAJFINSV,1236,1176,10,,OK
BAJAJHLDNG,1236,1176,10,,OK
BANKBARODA,1236,1176,10,,OK
BEL,1236,1176,10,,OK
BHARATFORG,1235,1175,10,,OK
BHARTIARTL,1236,1176,10,,OK
BHEL,1236,1176,10,,OK
BIOCON,1236,1176,10,,OK
BOSCHLTD,1236,1176,10,,OK
BPCL,1236,1176,10,,OK
BRITANNIA,1236,1176,10,,OK
CANBK,1236,1176,10,,OK
CHOLAFIN,1236,1176,10,,OK
CIPLA,1236,1176,10,,OK
COALINDIA,1236,1176,10,,OK
COLPAL,1236,1176,10,,OK
CONCOR,1236,1176,10,,OK
CROMPTON,1236,1176,10,,OK
CUB,1236,1176,10,,OK
CUMMINSIND,1236,1176,10,,OK
DABUR,1236,1176,10,,OK
DIVISLAB,1236,1176,10,,OK
DLF,1236,1176,10,,OK
DRREDDY,1236,1176,10,,OK
EICHERMOT,1236,1176,10,,OK
ESCORTS,1236,1176,10,,OK
EXIDEIND,1236,1176,10,,OK
FEDERALBNK,1236,1176,10,,OK
GAIL,1236,1176,10,,OK
GLENMARK,1236,1176,10,,OK
GMRAIRPORT,1236,1176,10,,OK
GODREJCP,1236,1176,10,,OK
GODREJPROP,1236,1176,10,,OK
GRANULES,1235,1175,10,,OK
GRASIM,1236,1176,10,,OK
HCLTECH,1236,1176,10,,OK
HDFCAMC,1236,1176,10,,OK
HDFCBANK,1236,1176,10,,OK
HDFCLIFE,1236,1176,10,,OK
HEROMOTOCO,1236,1176,10,,OK
HINDALCO,1236,1176,10,,OK
HINDPETRO,1236,1176,10,,OK
HINDUNILVR,1236,1176,10,,OK
HONAUT,1235,1175,10,,OK
ICICIBANK,1236,1176,10,,OK
ICICIGI,1236,1176,10,,OK
ICICIPRULI,1236,1176,10,,OK
IDFCFIRSTB,1236,1176,10,,OK
IEX,1236,1176,10,,OK
IGL,1236,1176,10,,OK
INDHOTEL,1236,1176,10,,OK
INDIGO,1236,1176,10,,OK
INDUSINDBK,1236,1176,10,,OK
INDUSTOWER,1236,1176,10,,OK
INFY,1236,1176,10,,OK
IOC,1236,1176,10,,OK
IPCALAB,1235,1175,10,,OK
IRCTC,1236,1176,10,,OK
ITC,1236,1176,10,,OK
JINDALSTEL,1236,1176,10,,OK
JKCEMENT,1236,1176,10,,OK
JSL,1236,1176,10,,OK
JSWSTEEL,1236,1176,10,,OK
JUBLFOOD,1236,1176,10,,OK
KOTAKBANK,1236,1176,10,,OK
LALPATHLAB,1236,1176,10,,OK
LAURUSLABS,1236,1176,10,,OK
LICHSGFIN,1236,1176,10,,OK
LT,1236,1176,10,,OK
LTIM,1237,1177,10,,OK
LTTS,1236,1176,10,,OK
LUPIN,1236,1176,10,,OK
M&M,1236,1176,10,,OK
MARICO,1236,1176,10,,OK
MARUTI,1236,1176,10,,OK
MCDOWELL-N,0,0,0,no raw data,ERROR
METROPOLIS,1236,1176,10,,OK
MFSL,1236,1176,10,,OK
MGL,1236,1176,10,,OK
MOTHERSON,1236,1176,10,,OK
MPHASIS,1236,1176,10,,OK
MRF,1235,1175,10,,OK
MUTHOOTFIN,1236,1176,10,,OK
NATIONALUM,1236,1176,10,,OK
NAUKRI,1236,1176,10,,OK
NAVINFLUOR,1235,1175,10,,OK
NESTLEIND,1236,1176,10,,OK
NMDC,1236,1176,10,,OK
NTPC,1236,1176,10,,OK
OBEROIRLTY,1236,1176,10,,OK
OFSS,1236,1176,10,,OK
ONGC,1236,1176,10,,OK
PAGEIND,1235,1175,10,,OK
PEL,0,0,0,no raw data,ERROR
PERSISTENT,1236,1176,10,,OK
PETRONET,1236,1176,10,,OK
PFC,1236,1176,10,,OK
PIDILITIND,1236,1176,10,,OK
PIIND,1236,1176,10,,OK
PNB,1236,1176,10,,OK
