feature,importance
atr_pct,0.12747007465307325
bb_width,0.060275980266353585
low_52w,0.05640172455383437
hl_range_pct,0.0488418462598264
bb_lower,0.044024388197961783
ema_50,0.03803929615497052
bb_middle,0.036880402480893665
price_vs_ema21_pct,0.03481522395747899
dist_from_52w_low,0.03397350732248289
ema_9,0.03229466570897987
ema9_vs_ema21_pct,0.031995724841640934
adx_14,0.031242849143485026
high_52w,0.029882189546448907
obv,0.029820374635418825
ema_21,0.027745759994764436
bb_upper,0.027265434753001087
obv_ema,0.02685042930807324
return_20d,0.023821219031120403
dist_from_52w_high,0.0217296394668146
atr_14,0.021310414122561794
rsi_14,0.019983397449338157
position_in_52w,0.01919873774401841
macd_signal,0.016899817723083285
macd_line,0.01582057623583657
bb_pct,0.014959503051991303
roc_10,0.014047052870398239
return_10d,0.01322575245706793
return_5d,0.012823210181967465
macd_histogram,0.011907242576215483
adx_above_25,0.009090432288255833
volume_ratio,0.00897758494970351
adx_slope,0.008728694510379081
stoch_k,0.007741806115824378
stoch_d,0.007508427152544996
return_1d,0.00744749095606062
body_pct,0.007240219382990435
rsi_above_50,0.004264132106745265
in_momentum_regime,0.00404568393450237
bb_squeeze,0.0017465644790297294
obv_above_ema,0.0016674250178472664
dip_count,0.0014483424387064117
ema_9_above_21,0.0013989328392848065
macd_above_signal,0.001221173404826398
ema_21_above_50,0.0008795528861223713
red_candle_signal,0.0005369654276473928
dip_conviction,0.0005018899137571748
rsi_dip_signal,0.0004850980927340792
rsi_oversold,0.00035330209564371793
stoch_above_50,0.0003453873816807738
volume_spike,0.0002879764748928093
bb_dip_signal,0.00026412616483203246
rsi_overbought,0.00016824054691438648
hybrid_signal,7.573257860778194e-05
ema_cross_up,2.8384171365021075e-05
