ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
ONWARDTEC,2022-01-05,2022-01-12,271.73,320.15,551,149872.95,0.664,247.52,26679.42,26176.89,17.82,7,target_hit
MAXHEALTH,2022-01-06,2022-01-18,406.25,394.21,367,149242.84,0.6171,379.76,-4418.68,-4857.12,-2.96,12,ema_reversal
INDIACEM,2022-01-19,2022-01-24,236.13,219.87,647,152928.89,0.6472,219.87,-10520.22,-10957.51,-6.89,5,stop_loss
NBCC,2022-01-19,2022-01-24,31.5,29.73,4849,152896.24,0.613,29.73,-8582.73,-9023.8,-5.62,5,stop_loss
RAJRATAN,2022-01-20,2022-01-24,545.98,501.21,281,153573.8,0.6813,501.21,-12580.37,-13015.47,-8.2,4,stop_loss
SUZLON,2022-01-20,2022-01-25,10.51,9.69,14566,153241.75,0.6651,9.69,-11944.12,-12379.5,-7.8,5,stop_loss
TANLA,2022-01-21,2022-01-25,1809.37,1673.89,85,153950.25,0.5814,1673.89,-11515.8,-11954.16,-7.49,4,stop_loss
AUBANK,2022-01-19,2022-02-03,628.61,703.29,243,152904.98,0.6321,591.27,18147.24,17652.69,11.88,15,target_hit
ALOKINDS,2022-01-25,2022-02-10,28.45,28.0,4067,115821.86,0.6764,24.88,-1830.15,-2173.61,-1.58,16,ema_reversal
SUZLON,2022-01-27,2022-02-11,9.96,9.6,14598,145541.48,0.6462,9.05,-5255.28,-5680.96,-3.61,15,ema_reversal
MOTHERSON,2022-01-25,2022-02-14,77.95,72.34,1860,145131.99,0.6071,72.34,-10434.6,-10848.69,-7.2,20,stop_loss
ARVINDFASN,2022-01-28,2022-02-15,309.96,291.43,477,147998.77,0.636,286.63,-8838.81,-9264.69,-5.98,18,ema_reversal
MMTC,2022-02-10,2022-02-14,53.8,48.99,2736,147344.0,0.6144,48.99,-13160.16,-13575.43,-8.94,4,stop_loss
ONGC,2022-02-15,2022-02-15,131.05,124.72,1066,139839.0,0.5867,124.72,-6747.78,-7153.38,-4.83,0,stop_loss
NLCINDIA,2022-02-15,2022-02-15,61.86,57.21,2251,139386.11,0.6206,57.21,-10467.15,-10863.96,-7.52,0,stop_loss
GOKEX,2022-01-25,2022-02-18,364.52,359.53,398,145224.04,0.6723,332.03,-1986.02,-2417.28,-1.37,24,ema_reversal
BANKBARODA,2022-02-15,2022-02-22,94.5,88.28,1480,139999.86,0.6265,88.28,-9205.6,-9606.77,-6.58,7,stop_loss
SHOPERSTOP,2022-02-17,2022-02-22,355.0,319.9,390,138588.45,0.6507,319.9,-13689.0,-14076.97,-9.89,5,stop_loss
CHOLAFIN,2022-03-11,2022-04-11,657.66,748.76,204,134296.8,0.5701,612.11,18584.4,18144.74,13.85,31,target_hit
TATAPOWER,2022-04-19,2022-04-19,253.38,237.32,539,136708.39,0.6079,237.32,-8656.34,-9048.74,-6.34,0,stop_loss
MOIL,2022-04-18,2022-04-26,168.14,163.66,814,137002.83,0.5895,158.53,-3646.72,-4050.02,-2.66,8,ema_reversal
ANGELONE,2022-04-21,2022-04-29,162.65,185.97,834,135785.75,0.6345,150.99,19448.88,19003.03,14.34,8,target_hit
INDIANB,2022-04-20,2022-05-04,143.85,135.84,943,135786.2,0.6095,135.84,-7553.43,-7945.27,-5.57,14,stop_loss
JINDALSTEL,2022-04-22,2022-05-09,531.68,486.71,259,137842.83,0.5838,501.14,-11647.23,-12037.05,-8.46,17,ema_reversal
TORNTPOWER,2022-04-26,2022-05-09,496.0,447.41,270,134053.92,0.5653,469.86,-13119.3,-13494.82,-9.8,13,ema_reversal
IIFL,2022-05-02,2022-05-06,338.59,306.86,416,140994.29,0.6351,306.86,-13199.68,-13595.84,-9.37,4,stop_loss
CRISIL,2022-04-22,2022-05-09,3226.85,2993.58,42,135663.23,0.5452,2993.58,-9797.34,-10184.33,-7.23,17,stop_loss
INDHOTEL,2022-04-21,2022-05-12,238.22,220.15,571,136159.64,0.6435,223.11,-10317.97,-10705.4,-7.59,21,ema_reversal
RAJRATAN,2022-05-06,2022-05-30,614.67,716.61,220,135362.63,0.7063,563.7,22426.8,21976.26,16.58,24,target_hit
NLCINDIA,2022-05-19,2022-06-01,70.18,68.9,1867,131157.09,0.6089,63.21,-2389.76,-2778.06,-1.82,13,ema_reversal
VBL,2022-05-12,2022-06-15,138.71,158.81,923,128157.36,0.6077,128.66,18552.3,18131.11,14.49,34,target_hit
TATAELXSI,2022-05-16,2022-06-20,7695.15,7588.59,16,123245.52,0.5286,7052.17,-1704.96,-2070.92,-1.38,35,ema_reversal
RATNAMANI,2022-06-22,2022-07-01,1671.44,1525.28,79,132175.8,0.5411,1525.28,-11546.64,-11919.68,-8.74,9,stop_loss
VBL,2022-06-23,2022-07-08,149.58,168.58,882,132061.49,0.5716,140.08,16758.0,16328.7,12.7,15,target_hit
TIMKEN,2022-06-17,2022-07-18,2295.67,2644.73,58,133282.01,0.5964,2121.14,20245.48,19805.54,15.21,31,target_hit
USHAMART,2022-07-20,2022-07-25,124.06,142.16,1101,136726.65,0.6393,115.01,19928.1,19478.47,14.59,5,target_hit
NOCIL,2022-08-01,2022-08-04,267.44,253.21,522,139743.28,0.5938,253.21,-7428.06,-7832.01,-5.32,3,stop_loss
TARSONS,2022-07-29,2022-08-08,813.46,754.89,171,139240.76,0.5604,754.89,-10015.47,-10412.74,-7.2,10,stop_loss
SHOPERSTOP,2022-07-27,2022-08-12,575.95,645.79,242,139519.28,0.6816,541.03,16901.28,16449.34,12.13,16,target_hit
VSTIND,2022-08-12,2022-08-16,277.51,269.09,500,138893.75,0.549,269.09,-4210.0,-4617.84,-3.03,4,stop_loss
FORTIS,2022-08-05,2022-08-17,267.12,293.46,522,139576.08,0.5451,253.95,13749.48,13303.67,9.86,12,target_hit
LEMONTREE,2022-08-18,2022-08-22,73.0,68.4,1932,141177.04,0.6337,68.4,-8887.2,-9292.53,-6.3,4,stop_loss
USHAMART,2022-08-11,2022-08-25,138.61,135.48,995,138054.87,0.6725,125.4,-3114.35,-3521.87,-2.26,14,ema_reversal
FEDERALBNK,2022-08-22,2022-08-25,104.94,113.3,1334,140129.95,0.5539,100.76,11152.24,10709.97,7.97,3,target_hit
LICHSGFIN,2022-08-11,2022-09-01,355.9,386.34,388,138227.29,0.5477,340.68,11810.72,11372.83,8.55,21,target_hit
AMBUJACEM,2022-08-26,2022-09-06,395.04,421.28,359,141961.18,0.5632,381.92,9420.16,8975.86,6.64,11,target_hit
GSFC,2022-08-01,2022-09-08,141.96,141.25,984,139828.33,0.6072,132.5,-698.64,-1116.31,-0.5,38,ema_reversal
INDIGO,2022-08-24,2022-09-08,1976.66,1889.65,70,138504.57,0.541,1889.65,-6090.7,-6493.62,-4.4,15,stop_loss
ADANIPORTS,2022-08-29,2022-09-09,802.29,878.23,177,142147.34,0.5522,764.32,13441.38,12988.48,9.47,11,target_hit
KRBL,2022-09-09,2022-09-13,300.66,351.9,481,144762.08,0.6514,275.04,24646.44,24163.29,17.04,4,target_hit
APTUS,2022-09-13,2022-09-16,329.76,304.13,440,145239.49,0.6304,304.13,-11277.2,-11689.93,-7.77,3,stop_loss
TITAGARH,2022-09-12,2022-09-19,162.07,148.97,889,144224.31,0.712,148.97,-11645.9,-12054.85,-8.08,7,stop_loss
NLCINDIA,2022-09-14,2022-09-23,69.36,67.52,2144,148856.55,0.5686,65.36,-3944.96,-4383.19,-2.65,9,ema_reversal
LICHSGFIN,2022-09-20,2022-09-23,394.95,381.2,366,144696.25,0.5543,381.2,-5032.5,-5456.09,-3.48,3,stop_loss
IDFCFIRSTB,2022-09-23,2022-09-23,50.53,48.04,2870,145166.12,0.6619,48.04,-7146.3,-7567.07,-4.93,0,stop_loss
UJJIVANSFB,2022-09-20,2022-09-26,23.03,21.39,6272,144588.6,0.6996,21.39,-10286.08,-10698.84,-7.12,6,stop_loss
INDIACEM,2022-09-26,2022-09-27,249.0,228.49,565,140825.68,0.6483,228.49,-11588.15,-11987.03,-8.24,1,stop_loss
SCHAEFFLER,2022-09-22,2022-09-29,3268.97,3114.61,44,143978.51,0.5373,3019.26,-6791.84,-7209.76,-4.72,7,ema_reversal
TRENT,2022-08-24,2022-10-17,1345.93,1373.79,103,138769.42,0.5787,1265.64,2869.58,2447.95,2.07,54,ema_reversal
INDIACEM,2022-09-29,2022-10-17,252.8,227.4,542,137154.62,0.6771,230.0,-13766.8,-14150.32,-10.05,18,ema_reversal
INDUSINDBK,2022-09-26,2022-10-25,1144.6,1120.97,122,139780.84,0.5605,1090.83,-2882.86,-3296.02,-2.06,29,ema_reversal
KARURVYSYA,2022-09-27,2022-10-27,64.87,76.47,2137,138765.82,0.6452,59.07,24789.2,24323.74,17.88,30,target_hit
AMBUJACEM,2022-09-28,2022-11-09,488.86,570.82,281,137507.03,0.6854,447.88,23030.76,22572.59,16.77,42,target_hit
PCJEWELLER,2022-11-09,2022-11-15,9.65,8.98,14784,142808.27,0.5659,9.01,-9905.28,-10313.47,-6.94,6,ema_reversal
JBCHEPHARM,2022-09-22,2022-11-17,911.11,1013.49,159,145011.36,0.5349,859.92,16278.42,15811.26,11.24,56,target_hit
PNB,2022-11-04,2022-11-21,39.59,44.55,3577,141755.04,0.6077,37.11,17741.92,17281.6,12.53,17,target_hit
ARVINDFASN,2022-11-09,2022-11-24,351.89,331.87,405,142657.97,0.6326,327.54,-8108.1,-8519.43,-5.69,15,ema_reversal
VIJAYA,2022-11-15,2022-11-25,466.3,447.65,304,141896.96,0.6093,434.19,-5669.6,-6083.53,-4.0,10,ema_reversal
BHEL,2022-11-15,2022-11-25,70.41,78.47,2016,142088.51,0.608,66.38,16248.96,15790.62,11.45,10,target_hit
JSL,2022-11-29,2022-12-06,172.18,192.46,861,148395.23,0.6535,162.04,17461.08,16981.42,11.78,7,target_hit
AXISBANK,2022-11-02,2022-12-13,872.69,942.95,162,141517.16,0.5422,837.56,11382.12,10935.23,8.05,41,target_hit
BHEL,2022-12-12,2022-12-16,85.26,80.64,1767,150805.07,0.6024,80.64,-8163.54,-8599.18,-5.42,4,stop_loss
FORCEMOT,2022-11-24,2022-12-22,1488.89,1421.59,96,143076.37,0.5701,1400.58,-6460.8,-6876.68,-4.52,28,ema_reversal
IGL,2022-11-23,2022-12-26,190.24,183.7,757,144155.69,0.524,181.18,-4950.78,-5372.91,-3.44,33,ema_reversal
CANBK,2022-12-01,2022-12-26,57.32,52.72,2593,148779.39,0.633,55.1,-11927.8,-12349.84,-8.03,25,ema_reversal
RAYMOND,2022-12-15,2022-12-23,1450.67,1351.59,105,152472.67,0.5968,1351.59,-10403.4,-10839.55,-6.83,8,stop_loss
TITAGARH,2022-12-19,2022-12-29,194.14,221.82,777,150997.63,0.6653,180.3,21507.36,21011.8,14.26,10,target_hit
JSL,2022-12-22,2022-12-29,206.69,235.57,724,149793.2,0.6959,192.25,20909.12,20418.37,13.97,7,target_hit
PIIND,2022-11-18,2023-01-02,3347.85,3385.23,42,140750.31,0.5229,3173.95,1569.96,1144.99,1.12,45,ema_reversal
RECLTD,2022-12-27,2023-01-03,95.36,102.92,1512,144328.5,0.5759,91.58,11430.72,10975.31,7.93,7,target_hit
SUPREMEIND,2022-12-27,2023-01-04,2404.97,2331.06,59,142035.12,0.5229,2261.51,-4360.69,-4777.65,-3.07,8,ema_reversal
IIFL,2022-12-27,2023-01-05,468.3,454.5,307,143911.87,0.6625,433.77,-4236.6,-4659.43,-2.95,9,ema_reversal
PFC,2023-01-13,2023-01-30,102.28,93.51,1458,149273.36,0.596,97.1,-12786.66,-13208.46,-8.57,17,ema_reversal
RECLTD,2023-02-01,2023-02-02,102.36,97.78,1447,148263.03,0.5501,97.89,-6627.26,-7058.35,-4.47,1,ema_reversal
TITAGARH,2023-01-11,2023-02-02,223.07,207.04,670,149606.36,0.6794,207.04,-10740.1,-11166.99,-7.19,22,stop_loss
JBMA,2023-01-27,2023-02-03,267.67,249.56,554,148437.47,0.5962,249.56,-10032.94,-10457.74,-6.77,7,stop_loss
TATASTEEL,2023-01-31,2023-02-08,110.16,103.38,1331,146769.58,0.5244,105.97,-9024.18,-9446.0,-6.15,8,ema_reversal
EQUITASBNK,2023-03-13,2023-03-14,65.53,60.01,2192,143785.4,0.6799,60.01,-12099.84,-12506.57,-8.42,1,stop_loss
NEWGEN,2023-02-28,2023-03-24,217.88,222.8,651,141981.72,0.5942,205.74,3202.92,2770.99,2.26,24,ema_reversal
ONGC,2023-03-16,2023-03-28,129.98,129.16,1077,140128.45,0.538,125.71,-883.14,-1301.34,-0.63,12,ema_reversal
STYRENIX,2023-03-27,2023-03-27,672.97,634.45,209,140791.38,0.5698,634.45,-8050.68,-8456.53,-5.72,0,stop_loss
BLUESTARCO,2023-03-21,2023-03-29,715.07,680.28,194,138862.3,0.6144,672.8,-6749.26,-7151.93,-4.87,8,ema_reversal
TORNTPOWER,2023-03-31,2023-03-31,507.76,485.02,273,138757.1,0.5365,485.02,-6208.02,-6611.46,-4.48,0,stop_loss
POLYMED,2023-03-10,2023-04-06,936.25,937.25,152,142452.31,0.5251,879.54,152.0,-275.23,0.11,27,ema_reversal
