date,total_value
2022-01-03,1000000.0
2022-01-04,1000000.0
2022-01-05,1000000.0
2022-01-06,1000000.0
2022-01-07,1000000.0
2022-01-10,1000000.0
2022-01-11,1000000.0
2022-01-12,1000000.0
2022-01-13,1000000.0
2022-01-14,1000000.0
2022-01-17,1000000.0
2022-01-18,1000000.0
2022-01-19,1000000.0
2022-01-20,1000000.0
2022-01-21,1000000.0
2022-01-24,1000000.0
2022-01-25,1000000.0
2022-01-27,1000000.0
2022-01-28,1000000.0
2022-01-31,1000000.0
2022-02-01,1000000.0
2022-02-02,1000000.0
2022-02-03,1000000.0
2022-02-04,1000000.0
2022-02-07,1000000.0
2022-02-08,1000000.0
2022-02-09,1000000.0
2022-02-10,1000000.0
2022-02-11,1000000.0
2022-02-14,1000000.0
2022-02-15,1000000.0
2022-02-16,1000000.0
2022-02-17,1000000.0
2022-02-18,1000000.0
2022-02-21,1000000.0
2022-02-22,1000000.0
2022-02-23,1000000.0
2022-02-24,1000000.0
2022-02-25,1000000.0
2022-02-28,1000000.0
2022-03-02,1000000.0
2022-03-03,1000000.0
2022-03-04,1000000.0
2022-03-07,1000000.0
2022-03-08,1000000.0
2022-03-09,1000000.0
2022-03-10,1000000.0
2022-03-11,1000000.0
2022-03-14,1000000.0
2022-03-15,1000000.0
2022-03-16,1000000.0
2022-03-17,1000000.0
2022-03-21,1000000.0
2022-03-22,1000000.0
2022-03-23,1000000.0
2022-03-24,1000000.0
2022-03-25,1000000.0
2022-03-28,1000000.0
2022-03-29,1000000.0
2022-03-30,1000000.0
2022-03-31,1000000.0
2022-04-01,1000000.0
2022-04-04,1000000.0
2022-04-05,1000000.0
2022-04-06,1000000.0
2022-04-07,1000000.0
2022-04-08,1000000.0
2022-04-11,1000000.0
2022-04-12,1000000.0
2022-04-13,1000000.0
2022-04-18,1000000.0
2022-04-19,1000000.0
2022-04-20,1000000.0
2022-04-21,1000000.0
2022-04-22,1000000.0
2022-04-25,1000000.0
2022-04-26,1000000.0
2022-04-27,1000000.0
2022-04-28,1000000.0
2022-04-29,1000000.0
2022-05-02,1000000.0
2022-05-04,1000000.0
2022-05-05,1000000.0
2022-05-06,1000000.0
2022-05-09,1000000.0
2022-05-10,1000000.0
2022-05-11,1000000.0
2022-05-12,1000000.0
2022-05-13,1000000.0
2022-05-16,1000000.0
2022-05-17,1000000.0
2022-05-18,1001003.22
2022-05-19,1001027.97
2022-05-20,1001235.87
2022-05-23,1001072.52
2022-05-24,1000409.22
2022-05-25,999318.04
2022-05-26,999318.04
2022-05-27,999318.04
2022-05-30,999318.04
2022-05-31,999318.04
2022-06-01,999318.04
2022-06-02,999318.04
2022-06-03,999318.04
2022-06-06,999318.04
2022-06-07,999318.04
2022-06-08,999318.04
2022-06-09,999318.04
2022-06-10,999318.04
2022-06-13,999318.04
2022-06-14,999318.04
2022-06-15,999318.04
2022-06-16,999318.04
2022-06-17,999318.04
2022-06-20,999318.04
2022-06-21,999318.04
2022-06-22,999318.04
2022-06-23,999318.04
2022-06-24,999318.04
2022-06-27,999318.04
2022-06-28,999318.04
2022-06-29,999318.04
2022-06-30,999318.04
2022-07-01,999318.04
2022-07-04,999318.04
2022-07-05,999318.04
2022-07-06,999318.04
2022-07-07,999318.04
2022-07-08,999318.04
2022-07-11,999318.04
2022-07-12,999318.04
2022-07-13,999318.04
2022-07-14,999318.04
2022-07-15,999318.04
2022-07-18,999318.04
2022-07-19,999318.04
2022-07-20,999318.04
2022-07-21,999318.04
2022-07-22,999318.04
2022-07-25,999318.04
2022-07-26,999318.04
2022-07-27,999318.04
2022-07-28,999318.04
2022-07-29,999318.04
2022-08-01,999318.04
2022-08-02,999318.04
2022-08-03,999318.04
2022-08-04,999318.04
2022-08-05,999318.04
2022-08-08,999318.04
2022-08-10,999318.04
2022-08-11,999318.04
2022-08-12,999318.04
2022-08-16,999318.04
2022-08-17,999318.04
2022-08-18,999318.04
2022-08-19,999318.04
2022-08-22,999318.04
2022-08-23,999318.04
2022-08-24,999318.04
2022-08-25,999318.04
2022-08-26,999318.04
2022-08-29,999318.04
2022-08-30,999318.04
2022-09-01,999318.04
2022-09-02,999318.04
2022-09-05,999318.04
2022-09-06,999318.04
2022-09-07,999318.04
2022-09-08,999318.04
2022-09-09,999318.04
2022-09-12,999318.04
2022-09-13,999318.04
2022-09-14,999318.04
2022-09-15,999318.04
2022-09-16,999318.04
2022-09-19,999318.04
2022-09-20,999318.04
2022-09-21,999318.04
2022-09-22,999318.04
2022-09-23,999318.04
2022-09-26,999318.04
2022-09-27,999318.04
2022-09-28,999318.04
2022-09-29,999318.04
2022-09-30,999318.04
2022-10-03,996944.43
2022-10-04,1001469.87
2022-10-06,1002960.98
2022-10-07,1004553.71
2022-10-10,1003655.59
2022-10-11,1001032.95
2022-10-12,1002913.66
2022-10-13,1000772.03
2022-10-14,1000663.58
2022-10-17,1002264.03
2022-10-18,1009218.5
2022-10-19,1008980.69
2022-10-20,1007787.05
2022-10-21,1006806.55
2022-10-24,1008184.45
2022-10-25,1011303.3
2022-10-27,1013191.61
2022-10-28,1012822.46
2022-10-31,1013715.07
2022-11-01,1015067.85
2022-11-02,1014045.55
2022-11-03,1018871.48
2022-11-04,1019186.97
2022-11-07,1022956.65
2022-11-09,1023933.43
2022-11-10,1024564.14
2022-11-11,1017881.83
2022-11-14,1014925.47
2022-11-15,1014328.23
2022-11-16,1014007.42
2022-11-17,1013293.35
2022-11-18,1012444.86
2022-11-21,1013665.4
2022-11-22,1016230.9
2022-11-23,1018862.1
2022-11-24,1018852.78
2022-11-25,1026289.47
2022-11-28,1026350.28
2022-11-29,1023873.4
2022-11-30,1026782.86
2022-12-01,1030337.23
2022-12-02,1034910.26
2022-12-05,1034522.97
2022-12-06,1034742.82
2022-12-07,1032893.9
2022-12-08,1036665.9
2022-12-09,1032159.88
2022-12-12,1032796.68
2022-12-13,1037513.6
2022-12-14,1039474.97
2022-12-15,1037478.37
2022-12-16,1033782.2
2022-12-19,1034929.95
2022-12-20,1033676.34
2022-12-21,1026760.59
2022-12-22,1019334.25
2022-12-23,1009493.92
2022-12-26,1009493.92
2022-12-27,1009493.92
2022-12-28,1009493.92
2022-12-29,1009259.76
2022-12-30,1009741.4
2023-01-02,1012088.54
2023-01-03,1012627.3
2023-01-04,1006516.91
2023-01-05,1007286.01
2023-01-06,1008604.41
2023-01-09,1010752.89
2023-01-10,1005841.2
2023-01-11,1009889.11
2023-01-12,1006615.11
2023-01-13,1009765.85
2023-01-16,1009272.03
2023-01-17,1005050.87
2023-01-18,1006422.68
2023-01-19,1007219.26
2023-01-20,1006360.29
2023-01-23,1006089.66
2023-01-24,1003887.98
2023-01-25,1001671.32
2023-01-27,1000403.58
2023-01-30,1000653.84
2023-01-31,1000936.5
2023-02-01,998739.64
2023-02-02,997958.6
2023-02-03,997830.65
2023-02-06,997830.65
2023-02-07,997830.65
2023-02-08,997830.65
2023-02-09,999061.61
2023-02-10,998991.31
2023-02-13,999440.86
2023-02-14,998604.66
2023-02-15,999252.16
2023-02-16,999094.91
2023-02-17,999411.26
2023-02-20,1000302.96
2023-02-21,1000928.26
2023-02-22,1000275.21
2023-02-23,1000053.21
2023-02-24,999716.51
2023-02-27,999548.16
2023-02-28,1000055.06
2023-03-01,1001640.51
2023-03-02,1001581.31
2023-03-03,1002177.01
2023-03-06,1001905.06
2023-03-08,1001866.21
2023-03-09,1001708.96
2023-03-10,1002043.65
2023-03-13,999838.85
2023-03-14,996914.84
2023-03-15,998132.14
2023-03-16,996679.89
2023-03-17,997049.89
2023-03-20,996563.34
2023-03-21,997540.57
2023-03-22,999071.22
2023-03-23,999770.33
2023-03-24,998438.69
2023-03-27,998119.02
2023-03-28,996907.87
2023-03-29,997203.3
2023-03-31,1000253.26
2023-04-03,1001528.51
2023-04-05,1003303.73
2023-04-06,999487.27
2023-04-10,1001044.84
2023-04-11,1001894.6
2023-04-12,1001297.02
2023-04-13,1000943.79
2023-04-17,1000917.32
2023-04-18,998859.45
2023-04-19,1000082.82
2023-04-20,998567.73
2023-04-21,997890.77
2023-04-24,998996.72
2023-04-25,999104.93
2023-04-26,999046.27
2023-04-27,999580.92
2023-04-28,998913.07
2023-05-02,997804.92
2023-05-03,998361.77
2023-05-04,998816.87
2023-05-05,999185.02
2023-05-08,999327.47
2023-05-09,1001129.37
2023-05-10,1004842.32
2023-05-11,1003856.27
2023-05-12,1002986.77
2023-05-15,1003082.97
2023-05-16,1003650.92
2023-05-17,1004155.97
2023-05-18,1003728.62
2023-05-19,1004148.57
2023-05-22,1004035.72
2023-05-23,1002983.07
2023-05-24,1005151.27
2023-05-25,1004995.28
2023-05-26,1007509.64
2023-05-29,1008729.2
2023-05-30,1006565.98
2023-05-31,1010763.71
2023-06-01,1013820.63
2023-06-02,1012531.44
2023-06-05,1015891.83
2023-06-06,1017675.69
2023-06-07,1021481.2
2023-06-08,1022216.31
2023-06-09,1023277.53
2023-06-12,1022346.15
2023-06-13,1028342.13
2023-06-14,1031715.52
2023-06-15,1035483.95
2023-06-16,1035308.48
2023-06-19,1035170.99
2023-06-20,1043145.44
2023-06-21,1042353.25
2023-06-22,1039159.74
2023-06-23,1034743.16
2023-06-26,1040203.37
2023-06-27,1043249.51
2023-06-28,1050763.6
2023-06-30,1057303.7
2023-07-03,1059247.96
2023-07-04,1063377.15
2023-07-05,1068816.95
2023-07-06,1058939.97
2023-07-07,1060052.72
2023-07-10,1062589.38
2023-07-11,1062988.04
2023-07-12,1064417.67
2023-07-13,1058721.16
2023-07-14,1066555.07
2023-07-17,1065835.14
2023-07-18,1055553.64
2023-07-19,1055889.32
2023-07-20,1057033.09
2023-07-21,1058243.56
2023-07-24,1057042.6
2023-07-25,1062851.25
2023-07-26,1062309.75
2023-07-27,1066201.65
2023-07-28,1066806.13
2023-07-31,1066163.02
2023-08-01,1068833.18
2023-08-02,1063056.51
2023-08-03,1062783.2
2023-08-04,1061313.18
2023-08-07,1067861.88
2023-08-08,1069421.14
2023-08-09,1066586.81
2023-08-10,1067907.35
2023-08-11,1066172.83
2023-08-14,1064458.53
2023-08-16,1063169.11
2023-08-17,1064583.18
2023-08-18,1065335.31
2023-08-21,1060697.1
2023-08-22,1064328.17
2023-08-23,1069471.53
2023-08-24,1064499.68
2023-08-25,1064199.63
2023-08-28,1063413.44
2023-08-29,1065403.66
2023-08-30,1067753.98
2023-08-31,1070539.0
2023-09-01,1075600.76
2023-09-04,1082122.58
2023-09-05,1086297.24
2023-09-06,1083388.92
2023-09-07,1084759.36
2023-09-08,1084258.34
2023-09-11,1084085.85
2023-09-12,1065684.24
2023-09-13,1072497.88
2023-09-14,1075801.8
2023-09-15,1076661.6
2023-09-18,1083784.72
2023-09-20,1095198.56
2023-09-21,1088048.49
2023-09-22,1108839.12
2023-09-25,1103900.76
2023-09-26,1113358.7
2023-09-27,1114743.54
2023-09-28,1114672.46
2023-09-29,1122487.22
2023-10-03,1120209.15
2023-10-04,1115244.53
2023-10-05,1113764.11
2023-10-06,1120694.37
2023-10-09,1106451.3
2023-10-10,1110469.34
2023-10-11,1111621.24
2023-10-12,1123127.1
2023-10-13,1119854.47
2023-10-16,1117799.44
2023-10-17,1118323.92
2023-10-18,1104886.86
2023-10-19,1100785.12
2023-10-20,1096259.84
2023-10-23,1085017.2
2023-10-25,1085123.4
2023-10-26,1087270.6
2023-10-27,1086880.2
2023-10-30,1088637.0
2023-10-31,1086075.51
2023-11-01,1085936.46
2023-11-02,1085874.24
2023-11-03,1085393.96
2023-11-06,1085179.36
2023-11-07,1085204.18
2023-11-08,1083667.98
2023-11-09,1083201.98
2023-11-10,1082291.38
2023-11-13,1088116.58
