date,value,cash,invested,positions,drawdown
2025-01-01,999603,603077,396527,4,0.04
2025-01-02,1007073,6146,1000928,10,0
2025-01-03,1008872,8870,1000002,10,0
2025-01-06,988018,1946,986072,10,2.07
2025-01-07,991894,7340,984555,10,1.68
2025-01-08,993359,1817,991542,10,1.54
2025-01-09,982467,766,981701,10,2.62
2025-01-10,968363,1422,966941,10,4.02
2025-01-13,944213,5341,938872,10,6.41
2025-01-14,952693,3495,949198,10,5.57
2025-01-15,957978,7152,950826,10,5.04
2025-01-16,963024,11498,951526,10,4.54
2025-01-17,964111,14618,949493,10,4.44
2025-01-20,974834,15601,959233,10,3.37
2025-01-21,959078,9118,949959,10,4.94
2025-01-22,950343,170,950173,10,5.8
2025-01-23,956609,5022,951586,10,5.18
2025-01-24,946661,11827,934834,10,6.17
2025-01-27,922394,6743,915651,10,8.57
2025-01-28,927726,5708,922018,10,8.04
2025-01-29,942940,21302,921638,10,6.54
2025-01-30,946911,27894,919017,10,6.14
2025-01-31,948011,27894,920117,10,6.03
2025-02-01,947028,21989,925039,10,6.13
2025-02-03,937481,24116,913365,10,7.08
2025-02-04,946505,13835,932670,10,6.18
2025-02-05,950410,32408,918002,10,5.79
2025-02-06,946547,11202,935345,10,6.18
2025-02-07,945429,9984,935445,10,6.29
2025-02-10,927258,1771,925488,10,8.09
2025-02-11,912088,7843,904245,10,9.59
2025-02-12,903966,11488,892479,10,10.4
2025-02-13,906718,7703,899015,10,10.13
2025-02-14,897057,13112,883945,10,11.08
2025-02-17,881168,8257,872911,10,12.66
2025-02-18,879499,2589,876909,10,12.82
2025-02-19,883742,5620,878122,10,12.4
2025-02-20,893456,10773,882683,10,11.44
2025-02-21,895257,17453,877804,10,11.26
2025-02-24,885589,7440,878149,10,12.22
2025-02-25,876798,656,876141,10,13.09
2025-02-27,859805,386,859419,10,14.78
2025-02-28,848076,77347,770729,9,15.94
2025-03-03,843534,76028,767506,9,16.39
2025-03-04,842592,208,842384,10,16.48
2025-03-05,865126,15982,849143,10,14.25
2025-03-06,879918,16178,863740,10,12.78
2025-03-07,884270,19268,865002,10,12.35
2025-03-10,879125,17506,861619,10,12.86
2025-03-11,872545,176513,696032,8,13.51
2025-03-12,882731,5433,877298,10,12.5
2025-03-13,868421,762,867659,10,13.92
2025-03-17,870180,1955,868225,10,13.75
2025-03-18,870180,1955,868225,10,13.75
2025-03-19,897919,9067,888853,10,11
2025-03-20,906290,3800,902489,10,10.17
2025-03-21,930872,22628,908243,10,7.73
2025-03-24,933239,21631,911608,10,7.5
2025-03-25,926454,16109,910345,10,8.17
2025-03-26,918945,10039,908906,10,8.91
2025-03-27,911936,8637,903300,10,9.61
2025-03-28,914064,25,914039,10,9.4
2025-04-01,921096,89598,831498,9,8.7
2025-04-02,930099,76,930022,10,7.81
2025-04-03,936184,7461,928723,10,7.2
2025-04-04,917414,110,917304,10,9.07
2025-04-07,892099,17174,874926,10,11.57
2025-04-08,910619,25184,885435,10,9.74
2025-04-09,904605,22039,882566,10,10.33
2025-04-11,913151,24674,888477,10,9.49
2025-04-15,932858,23997,908861,10,7.53
2025-04-16,937170,17175,919995,10,7.11
2025-04-17,939552,13825,925727,10,6.87
2025-04-21,962629,12399,950230,10,4.58
2025-04-22,974873,16523,958350,10,3.37
2025-04-23,975676,7567,968109,10,3.29
2025-04-24,984895,10619,974276,10,2.38
2025-04-25,963795,4030,959765,10,4.47
2025-04-28,966988,889,966099,10,4.15
2025-04-29,966485,4865,961620,10,4.2
2025-04-30,956377,90765,865612,9,5.2
2025-05-02,949629,1301,948328,10,5.87
2025-05-05,962105,6346,955759,10,4.64
2025-05-06,946807,1574,945233,10,6.15
2025-05-07,940847,677,940170,10,6.74
2025-05-08,938823,2240,936583,10,6.94
2025-05-09,922849,91103,831746,9,8.53
2025-05-12,956422,5010,951412,10,5.2
2025-05-13,959532,94448,865084,9,4.89
2025-05-14,973197,4421,968776,10,3.54
2025-05-15,980384,7417,972967,10,2.82
2025-05-16,993065,22847,970218,10,1.57
2025-05-19,998616,25702,972914,10,1.02
2025-05-20,993522,24066,969456,10,1.52
2025-05-21,998302,13483,984819,10,1.05
2025-05-22,993519,7151,986368,10,1.52
2025-05-23,1000341,241,1000099,10,0.85
2025-05-26,1009377,10620,998756,10,0
2025-05-27,1004411,9835,994576,10,0.49
2025-05-28,1003915,8279,995636,10,0.54
2025-05-29,1007997,6144,1001853,10,0.14
2025-05-30,1006388,5363,1001025,10,0.3
2025-06-02,1009459,10794,998665,10,0
2025-06-03,1004004,10639,993366,10,0.54
2025-06-04,1004168,10515,993654,10,0.52
2025-06-05,1004074,12703,991370,10,0.53
2025-06-06,1017598,20409,997189,10,0
2025-06-09,1022081,15412,1006669,10,0
2025-06-10,1023043,20324,1002719,10,0
2025-06-11,1017637,15181,1002456,10,0.53
2025-06-12,1009300,667,1008632,10,1.34
2025-06-13,1000959,102133,898826,9,2.16
2025-06-16,1008116,78,1008038,10,1.46
2025-06-17,1003209,1317,1001892,10,1.94
2025-06-18,996068,94301,901766,9,2.64
2025-06-19,983089,195267,787823,8,3.91
2025-06-20,984165,1359,982806,10,3.8
2025-06-23,992063,10352,981712,10,3.03
2025-06-24,993749,9648,984102,10,2.86
2025-06-25,1002458,12792,989666,10,2.01
2025-06-26,1005789,9892,995897,10,1.69
2025-06-27,997714,5576,992139,10,2.48
2025-06-30,1002158,5576,996582,10,2.04
2025-07-01,1000539,5281,995258,10,2.2
2025-07-02,999650,10588,989062,10,2.29
2025-07-03,992406,9158,983248,10,2.99
2025-07-04,993010,6015,986995,10,2.94
2025-07-07,1002996,42388,960608,10,1.96
2025-07-08,991891,34415,957476,10,3.05
