ticker,sector,entryDate,entryPrice,exitDate,exitPrice,shares,pnl,pnlPct,holdDays,exitReason,strength,composite
TANLA,IT,2025-01-01,727.29,2025-01-02,762.89,137,4877,4.89,1,target_hit,MODERATE,0.537258064516129
SHYAMMETL,Metals,2025-01-02,738.01,2025-01-03,774.13,136,4913,4.9,1,target_hit,MODERATE,0.5431565984875958
TANLA,IT,2025-01-02,729.42,2025-01-03,706.83,138,-3117,-3.1,1,stop_loss,STRONG,0.7556890024435907
MUTHOOTFIN,Finance,2025-01-03,2212.41,2025-01-06,2143.89,45,-3083,-3.1,1,stop_loss,STRONG,0.7129752708586317
ENDURANCE,Auto,2025-01-03,2185.69,2025-01-06,2118,46,-3114,-3.1,1,stop_loss,STRONG,0.7886214338867591
TATACHEM,Chemicals,2025-01-02,1020.66,2025-01-06,989.05,98,-3098,-3.1,2,stop_loss,STRONG,0.6085876521364797
TATAELXSI,IT,2025-01-02,6636.88,2025-01-06,6431.34,15,-3083,-3.1,2,stop_loss,STRONG,0.6401190616559994
WELCORP,Metals,2025-01-02,816.92,2025-01-06,791.62,123,-3112,-3.1,2,stop_loss,STRONG,0.6989445149796857
BLUESTARCO,Industrials,2025-01-01,2251.25,2025-01-06,2361.45,44,4849,4.89,3,target_hit,MODERATE,0.5456521739130434
ECLERX,IT,2025-01-01,1734.82,2025-01-06,1681.1,57,-3062,-3.1,3,stop_loss,STRONG,0.7474638180496369
AVALON,IT,2025-01-01,973.97,2025-01-06,943.81,102,-3077,-3.1,3,stop_loss,STRONG,0.7501581956458435
THYROCARE,Pharma,2025-01-06,332.43,2025-01-07,322.14,297,-3058,-3.1,1,stop_loss,STRONG,0.61425
VIJAYA,Banking,2025-01-06,1125.16,2025-01-07,1180.24,87,4792,4.89,1,target_hit,STRONG,0.6343181818181818
PARADEEP,Chemicals,2025-01-06,119.85,2025-01-07,125.72,825,4840,4.89,1,target_hit,STRONG,0.6962251050493223
PARAS,Pharma,2025-01-07,533.17,2025-01-08,559.27,186,4854,4.9,1,target_hit,STRONG,0.6529130740855884
UNIONBANK,Banking,2025-01-06,111.07,2025-01-08,107.63,890,-3061,-3.1,2,stop_loss,STRONG,0.6143181818181818
JUBLFOOD,Consumer,2025-01-06,766.04,2025-01-08,742.31,129,-3060,-3.1,2,stop_loss,STRONG,0.7921574941640819
EICHERMOT,Auto,2025-01-02,5245.39,2025-01-08,5082.94,19,-3087,-3.1,4,stop_loss,STRONG,0.6003846153846154
PARAS,Pharma,2025-01-08,555.47,2025-01-09,538.27,179,-3079,-3.1,1,stop_loss,STRONG,0.6310958131983327
KALYANKJIL,Consumer,2025-01-08,705.04,2025-01-09,683.21,141,-3079,-3.1,1,stop_loss,STRONG,0.6928256847116733
IBREALEST,Realty,2025-01-08,143.48,2025-01-09,139.04,693,-3079,-3.1,1,stop_loss,STRONG,0.7426536774593229
PETRONET,Energy,2025-01-02,316.66,2025-01-09,315.2,318,-462,-0.46,5,time_stop,STRONG,0.6291666666666665
SAREGAMA,Consumer,2025-01-09,542.17,2025-01-10,525.38,181,-3039,-3.1,1,stop_loss,STRONG,0.6815795128557668
GALLANTT,Metals,2025-01-08,338.09,2025-01-10,327.62,294,-3078,-3.1,2,stop_loss,STRONG,0.6525448751331241
CROMPTON,Industrials,2025-01-06,368.05,2025-01-10,356.65,268,-3055,-3.1,4,stop_loss,STRONG,0.635
MPHASIS,IT,2025-01-10,2860.75,2025-01-13,2772.15,33,-2924,-3.1,1,stop_loss,STRONG,0.6271895863655434
TARSONS,Pharma,2025-01-10,405.46,2025-01-13,392.9,239,-3001,-3.1,1,stop_loss,STRONG,0.6883078582114962
TIMKEN,Auto,2025-01-09,2907.64,2025-01-13,2817.59,33,-2972,-3.1,2,stop_loss,STRONG,0.6111470865042967
MANAPPURAM,Finance,2025-01-09,176.95,2025-01-13,171.47,555,-3041,-3.1,2,stop_loss,STRONG,0.719569823049022
DEEPAKNTR,Chemicals,2025-01-09,2450.82,2025-01-13,2374.92,40,-3036,-3.1,2,stop_loss,STRONG,0.7785794820609595
SUNTV,Telecom,2025-01-07,646.91,2025-01-13,626.87,153,-3065,-3.1,4,stop_loss,STRONG,0.650641076351172
ENDURANCE,Auto,2025-01-07,2096.4,2025-01-13,2031.48,47,-3052,-3.1,4,stop_loss,STRONG,0.7389458476551339
TITAN,Consumer,2025-01-06,3463.45,2025-01-13,3356.19,28,-3003,-3.1,5,stop_loss,STRONG,0.5848958289296476
SBICARD,Finance,2025-01-06,726.51,2025-01-13,704.01,136,-3060,-3.1,5,stop_loss,STRONG,0.7410784265157826
INDUSTOWER,Telecom,2025-01-13,320.82,2025-01-14,336.52,294,4617,4.89,1,target_hit,MODERATE,0.5489615038023513
PRSMJOHNSN,Cement,2025-01-13,162.34,2025-01-14,157.31,582,-2926,-3.1,1,stop_loss,MODERATE,0.5632177490114509
HCLTECH,IT,2025-01-13,1904.64,2025-01-14,1845.66,49,-2890,-3.1,1,stop_loss,STRONG,0.6021479559963197
JUSTDIAL,IT,2025-01-13,900.2,2025-01-14,872.32,105,-2927,-3.1,1,stop_loss,STRONG,0.6237096774193548
BIOCON,Pharma,2025-01-13,365.07,2025-01-14,382.95,259,4628,4.89,1,target_hit,STRONG,0.6383749999999999
ADANIGREEN,Energy,2025-01-14,1007.86,2025-01-15,1057.19,94,4637,4.9,1,target_hit,MODERATE,0.5452755164940628
