ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
SHOPERSTOP,2022-05-19,2022-05-26,466.5,461.0,99,46229.68,0.4326,407.01,-544.5,-681.96,-1.18,7,ema_reversal
INDHOTEL,2022-11-01,2022-11-11,331.99,313.06,141,46857.4,0.4283,313.06,-2669.13,-2804.22,-5.7,10,stop_loss
BHEL,2022-10-04,2022-12-26,60.97,73.49,756,46139.41,0.4241,56.97,9465.12,9307.91,20.53,83,ema_reversal
IDFCFIRSTB,2022-10-04,2022-12-26,51.03,52.83,895,45717.52,0.4119,47.44,1611.0,1470.76,3.53,83,ema_reversal
UJJIVANSFB,2022-10-07,2022-12-26,22.98,24.14,2022,46512.03,0.4228,20.69,2345.52,2201.43,5.05,80,ema_reversal
UJJIVANSFB,2023-01-04,2023-01-13,28.79,26.56,1649,47522.18,0.421,26.01,-3677.27,-3812.34,-7.75,9,ema_reversal
CANBK,2023-01-02,2023-01-17,60.73,56.42,781,47477.56,0.437,56.42,-3366.11,-3501.67,-7.1,15,stop_loss
IDBI,2023-01-03,2023-01-25,52.29,50.63,880,46061.22,0.4023,47.49,-1460.8,-1595.92,-3.17,22,ema_reversal
IDFCFIRSTB,2023-01-04,2023-01-25,61.15,56.7,782,47867.12,0.4321,56.7,-3479.9,-3616.4,-7.28,21,stop_loss
NMDC,2022-12-30,2023-02-02,33.97,34.13,1346,45769.34,0.4074,32.06,215.36,77.76,0.47,34,ema_reversal
IOC,2023-01-02,2023-02-06,63.95,65.19,751,48074.48,0.4447,61.34,931.24,785.3,1.94,35,ema_reversal
INDIANB,2023-03-13,2023-03-14,264.67,244.65,172,45568.76,0.4094,244.65,-3443.44,-3573.12,-7.56,1,stop_loss
NTPC,2023-04-03,2023-04-18,161.93,156.77,292,47330.84,0.4455,156.02,-1506.72,-1645.56,-3.19,15,ema_reversal
IONEXCHANG,2023-03-22,2023-04-27,332.75,324.79,142,47297.75,0.452,304.95,-1130.32,-1269.81,-2.39,36,ema_reversal
VBL,2023-02-10,2023-06-26,246.14,305.7,185,45581.44,0.4165,223.26,11018.6,10859.96,24.2,136,ema_reversal
SUVEN,2023-06-05,2023-07-17,58.55,61.5,793,46476.58,0.4226,54.89,2339.35,2195.38,5.04,42,ema_reversal
ANGELONE,2023-05-29,2023-07-20,123.83,145.48,368,45615.01,0.4111,116.16,7967.2,7814.56,17.48,52,ema_reversal
JBMA,2023-05-26,2023-08-11,396.71,640.55,114,45270.16,0.4126,367.12,27797.76,27606.49,61.47,77,ema_reversal
KARURVYSYA,2023-08-08,2023-08-16,101.81,98.06,457,46573.7,0.4064,95.07,-1713.75,-1849.9,-3.68,8,ema_reversal
IONEXCHANG,2023-08-17,2023-08-22,508.48,469.16,95,48353.91,0.4284,455.45,-3735.4,-3872.85,-7.73,5,ema_reversal
WESTLIFE,2023-05-26,2023-08-29,761.63,897.91,63,48030.67,0.4656,708.46,8585.64,8424.52,17.89,95,ema_reversal
NEWGEN,2023-09-07,2023-09-13,443.6,411.75,109,48400.75,0.421,399.53,-3471.65,-3609.76,-7.18,6,ema_reversal
